Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","18 years and over","586,136","(+/-3,064)","612,201","(+/-8,038)","604,817","(+/-2,837)","614,246","(+/-7,478)","598,534","(+/-6,989)","610,463","(+/-9,152)","632,458","(+/-3,964)","591,162","(+/-7,754)","594,388","(+/-6,157)","607,822","(+/-5,512)","633,807","(+/-2,306)","603,753","(+/-9,784)","620,347","(+/-7,299)","602,858","(+/-8,931)"
People,"Sex and Age","65 years and over","158,393","(+/-2,135)","105,319","(+/-4,430)","139,563","(+/-1,897)","113,397","(+/-3,561)","148,704","(+/-2,993)","137,703","(+/-3,575)","169,388","(+/-2,099)","128,750","(+/-3,134)","133,636","(+/-2,959)","140,894","(+/-2,183)","191,468","(+/-2,114)","83,770","(+/-3,387)","129,983","(+/-3,890)","134,388","(+/-3,276)"
People,Race,"Total population","746,458","(+/-3,987)","775,561","(+/-10,591)","771,798","(+/-3,448)","783,628","(+/-10,222)","746,549","(+/-8,902)","779,442","(+/-12,436)","791,823","(+/-5,932)","773,839","(+/-10,833)","765,429","(+/-9,159)","778,760","(+/-7,776)","765,771","(+/-2,289)","762,879","(+/-12,882)","808,879","(+/-9,830)","784,675","(+/-12,643)"
People,Race,"One race","691,253","(+/-6,810)","703,036","(+/-11,721)","701,348","(+/-7,226)","717,334","(+/-11,517)","698,813","(+/-9,069)","706,673","(+/-14,199)","734,852","(+/-7,968)","711,988","(+/-10,850)","695,740","(+/-9,253)","720,089","(+/-10,069)","705,042","(+/-4,539)","686,890","(+/-13,378)","734,684","(+/-12,795)","723,502","(+/-13,397)"
People,Race,White,"365,606","(+/-4,654)","422,496","(+/-10,397)","489,631","(+/-4,416)","426,356","(+/-11,041)","534,550","(+/-7,839)","468,159","(+/-11,146)","527,592","(+/-5,427)","471,064","(+/-9,568)","461,077","(+/-7,505)","529,568","(+/-8,554)","642,213","(+/-3,061)","278,308","(+/-8,199)","512,798","(+/-8,849)","520,447","(+/-7,723)"
People,Race,"Black or African American","288,911","(+/-5,532)","179,251","(+/-9,198)","149,693","(+/-5,366)","150,932","(+/-7,915)","117,074","(+/-7,636)","160,863","(+/-11,059)","143,430","(+/-5,197)","125,562","(+/-6,553)","164,299","(+/-7,921)","123,501","(+/-4,640)","24,113","(+/-2,116)","273,257","(+/-10,819)","150,205","(+/-7,682)","131,913","(+/-10,878)"
People,Race,"American Indian and Alaska Native","4,957","(+/-1,066)","2,620","(+/-1,101)","4,110","(+/-2,147)","3,584","(+/-2,004)","2,871","(+/-1,659)","2,519","(+/-1,371)","17,552","(+/-1,909)","42,080","(+/-2,992)","7,480","(+/-1,559)","2,480","(+/-1,080)","12,095","(+/-1,806)","4,394","(+/-1,991)","3,859","(+/-1,516)","2,190","(+/-1,206)"
People,Race,Asian,"4,919","(+/-1,118)","47,099","(+/-4,705)","12,848","(+/-1,572)","85,697","(+/-5,496)","14,011","(+/-3,228)","31,460","(+/-4,380)","11,995","(+/-1,496)","28,548","(+/-3,097)","14,471","(+/-2,224)","18,886","(+/-1,752)","7,415","(+/-1,105)","42,973","(+/-3,884)","9,241","(+/-1,835)","31,669","(+/-3,210)"
People,Race,"Native Hawaiian and Other Pacific Islander",321,(+/-360),164,(+/-149),400,(+/-285),229,(+/-258),0,(+/-222),361,(+/-474),593,(+/-358),"1,311","(+/-1,394)",439,(+/-335),237,(+/-299),269,(+/-375),405,(+/-287),308,(+/-446),295,(+/-282)
People,Race,"Some other race","26,539","(+/-3,185)","51,406","(+/-9,015)","44,666","(+/-4,516)","50,536","(+/-6,122)","30,307","(+/-5,209)","43,311","(+/-8,063)","33,690","(+/-4,839)","43,423","(+/-7,061)","47,974","(+/-5,401)","45,417","(+/-7,128)","18,937","(+/-3,435)","87,553","(+/-7,215)","58,273","(+/-8,974)","36,988","(+/-5,505)"
People,Race,"Two or more races","55,205","(+/-5,921)","72,525","(+/-8,940)","70,450","(+/-6,183)","66,294","(+/-7,230)","47,736","(+/-5,480)","72,769","(+/-7,835)","56,971","(+/-5,964)","61,851","(+/-7,512)","69,689","(+/-6,545)","58,671","(+/-6,606)","60,729","(+/-4,090)","75,989","(+/-9,148)","74,195","(+/-7,475)","61,173","(+/-6,666)"
People,"Hispanic or Latino and Race","Total population","746,458","(+/-3,987)","775,561","(+/-10,591)","771,798","(+/-3,448)","783,628","(+/-10,222)","746,549","(+/-8,902)","779,442","(+/-12,436)","791,823","(+/-5,932)","773,839","(+/-10,833)","765,429","(+/-9,159)","778,760","(+/-7,776)","765,771","(+/-2,289)","762,879","(+/-12,882)","808,879","(+/-9,830)","784,675","(+/-12,643)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","64,509",(+/-991),"103,335","(+/-7,125)","88,518",(+/-930),"90,761","(+/-4,956)","63,281","(+/-4,026)","96,872","(+/-8,083)","68,231","(+/-3,022)","81,946","(+/-5,816)","102,362","(+/-4,772)","89,556","(+/-5,101)","61,815","(+/-1,174)","140,860","(+/-6,197)","113,162","(+/-5,730)","71,665","(+/-5,406)"
People,"Hispanic or Latino and Race",Mexican,"41,704","(+/-3,735)","44,375","(+/-7,866)","37,593","(+/-4,531)","35,493","(+/-6,011)","33,542","(+/-5,175)","56,328","(+/-8,157)","36,694","(+/-4,256)","44,256","(+/-6,245)","54,029","(+/-5,778)","45,577","(+/-6,340)","36,603","(+/-3,975)","49,048","(+/-9,758)","60,893","(+/-8,223)","25,069","(+/-4,847)"
People,"Hispanic or Latino and Race","Puerto Rican","7,716","(+/-2,190)","9,256","(+/-2,504)","15,944","(+/-3,618)","8,031","(+/-2,885)","7,181","(+/-2,959)","9,846","(+/-2,918)","10,418","(+/-2,488)","4,452","(+/-1,867)","16,920","(+/-4,245)","8,511","(+/-3,235)","3,120","(+/-1,291)","7,870","(+/-2,626)","14,709","(+/-4,124)","8,850","(+/-2,771)"
People,"Hispanic or Latino and Race",Cuban,"1,758","(+/-1,381)","1,668","(+/-1,203)","1,650",(+/-964),"3,137","(+/-1,358)","1,434",(+/-708),"2,115","(+/-1,248)","1,059",(+/-645),"1,796",(+/-866),"2,035","(+/-1,007)","2,771","(+/-1,706)","2,172","(+/-1,204)","1,923",(+/-963),"3,919","(+/-2,187)","4,065","(+/-2,226)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","13,331","(+/-3,110)","48,036","(+/-8,188)","33,331","(+/-4,629)","44,100","(+/-6,360)","21,124","(+/-4,568)","28,583","(+/-6,746)","20,060","(+/-3,298)","31,442","(+/-5,486)","29,378","(+/-4,639)","32,697","(+/-5,787)","19,920","(+/-4,055)","82,019","(+/-8,861)","33,641","(+/-6,110)","33,681","(+/-5,833)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","681,949","(+/-3,799)","672,226","(+/-9,536)","683,280","(+/-3,471)","692,867","(+/-8,833)","683,268","(+/-8,845)","682,570","(+/-11,715)","723,592","(+/-6,055)","691,893","(+/-9,881)","663,067","(+/-9,473)","689,204","(+/-6,972)","703,956","(+/-2,023)","622,019","(+/-12,576)","695,717","(+/-8,440)","713,010","(+/-12,163)"
People,"Place of Birth","Total population","746,458","(+/-3,987)","775,561","(+/-10,591)","771,798","(+/-3,448)","783,628","(+/-10,222)","746,549","(+/-8,902)","779,442","(+/-12,436)","791,823","(+/-5,932)","773,839","(+/-10,833)","765,429","(+/-9,159)","778,760","(+/-7,776)","765,771","(+/-2,289)","762,879","(+/-12,882)","808,879","(+/-9,830)","784,675","(+/-12,643)"
People,"Place of Birth",Native,"716,365","(+/-4,719)","658,640","(+/-11,276)","727,175","(+/-5,037)","651,531","(+/-10,784)","700,675","(+/-8,940)","703,026","(+/-11,977)","746,433","(+/-7,078)","697,991","(+/-10,635)","707,562","(+/-9,915)","725,903","(+/-8,395)","724,213","(+/-5,016)","627,719","(+/-14,461)","738,986","(+/-9,792)","714,145","(+/-13,160)"
People,"Place of Birth","Born in United States","709,733","(+/-4,982)","644,320","(+/-11,670)","712,424","(+/-5,280)","636,619","(+/-10,672)","691,121","(+/-9,399)","693,723","(+/-12,402)","732,922","(+/-6,886)","688,545","(+/-10,675)","691,556","(+/-10,103)","717,643","(+/-9,034)","716,485","(+/-5,152)","616,329","(+/-14,510)","722,607","(+/-9,332)","702,211","(+/-13,200)"
People,"Place of Birth","State of residence","502,038","(+/-8,570)","340,518","(+/-11,882)","402,351","(+/-10,121)","307,030","(+/-9,495)","482,368","(+/-10,392)","452,020","(+/-11,144)","410,496","(+/-10,301)","430,173","(+/-10,746)","422,411","(+/-12,268)","453,574","(+/-11,035)","384,051","(+/-9,596)","314,986","(+/-12,605)","417,027","(+/-11,810)","409,452","(+/-9,648)"
People,"Place of Birth","Different state","207,695","(+/-7,651)","303,802","(+/-10,519)","310,073","(+/-10,114)","329,589","(+/-10,668)","208,753","(+/-8,401)","241,703","(+/-11,687)","322,426","(+/-9,903)","258,372","(+/-9,392)","269,145","(+/-10,019)","264,069","(+/-10,140)","332,434","(+/-8,784)","301,343","(+/-12,926)","305,580","(+/-12,284)","292,759","(+/-11,856)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,632","(+/-1,671)","14,320","(+/-2,851)","14,751","(+/-2,665)","14,912","(+/-3,160)","9,554","(+/-3,416)","9,303","(+/-2,119)","13,511","(+/-2,483)","9,446","(+/-1,797)","16,006","(+/-3,280)","8,260","(+/-2,695)","7,728","(+/-1,264)","11,390","(+/-2,359)","16,379","(+/-3,898)","11,934","(+/-2,881)"
People,"Place of Birth",Foreign-born,"30,093","(+/-2,761)","116,921","(+/-8,576)","44,623","(+/-4,245)","132,097","(+/-8,067)","45,874","(+/-4,467)","76,416","(+/-9,468)","45,390","(+/-4,358)","75,848","(+/-5,530)","57,867","(+/-4,815)","52,857","(+/-4,776)","41,558","(+/-3,959)","135,160","(+/-8,911)","69,893","(+/-6,473)","70,530","(+/-6,103)"
People,Ancestry,"Total population","746,458","(+/-3,987)","775,561","(+/-10,591)","771,798","(+/-3,448)","783,628","(+/-10,222)","746,549","(+/-8,902)","779,442","(+/-12,436)","791,823","(+/-5,932)","773,839","(+/-10,833)","765,429","(+/-9,159)","778,760","(+/-7,776)","765,771","(+/-2,289)","762,879","(+/-12,882)","808,879","(+/-9,830)","784,675","(+/-12,643)"
People,Ancestry,American,"73,935","(+/-6,678)","42,455","(+/-6,070)","50,497","(+/-5,142)","38,327","(+/-5,481)","110,976","(+/-8,951)","69,067","(+/-7,703)","60,577","(+/-5,436)","59,999","(+/-6,365)","50,936","(+/-5,368)","67,601","(+/-7,785)","97,665","(+/-6,783)","37,022","(+/-5,213)","65,648","(+/-7,034)","71,656","(+/-5,666)"
People,Ancestry,Arab,"2,323","(+/-1,268)","11,015","(+/-4,633)","1,063",(+/-633),"7,895","(+/-2,148)","2,612","(+/-1,387)","3,672","(+/-2,331)","3,817","(+/-2,255)","4,287","(+/-2,141)",886,(+/-754),"1,461",(+/-946),"2,336","(+/-1,184)","3,570","(+/-1,438)","3,483","(+/-1,163)","2,809","(+/-1,579)"
People,Ancestry,Czech,796,(+/-580),"1,873",(+/-942),"1,802",(+/-780),"1,776",(+/-662),349,(+/-231),912,(+/-482),"1,181",(+/-544),"1,173",(+/-602),"1,310",(+/-874),"1,476",(+/-881),909,(+/-430),"1,430",(+/-732),"2,249","(+/-1,078)","1,330",(+/-676)
People,Ancestry,Danish,208,(+/-117),"2,569","(+/-1,299)",801,(+/-498),"2,715",(+/-930),"1,236","(+/-1,222)",253,(+/-225),"2,076",(+/-776),611,(+/-410),921,(+/-610),"1,342",(+/-737),"1,721",(+/-781),"1,638","(+/-1,218)","1,138",(+/-674),703,(+/-451)
People,Ancestry,Dutch,"3,872","(+/-1,459)","4,900","(+/-1,309)","4,836","(+/-1,131)","6,771","(+/-1,710)","3,348","(+/-1,237)","5,377","(+/-1,881)","3,972","(+/-1,088)","5,410","(+/-1,768)","5,651","(+/-1,709)","4,826","(+/-1,308)","7,819","(+/-2,012)","3,492","(+/-1,077)","5,577","(+/-1,652)","6,139","(+/-1,655)"
People,Ancestry,English,"83,876","(+/-6,536)","100,055","(+/-7,476)","111,025","(+/-9,170)","98,916","(+/-6,860)","105,386","(+/-8,177)","87,017","(+/-6,925)","100,964","(+/-7,125)","79,694","(+/-6,805)","83,837","(+/-7,022)","99,640","(+/-7,505)","137,841","(+/-8,887)","57,511","(+/-6,047)","94,641","(+/-7,174)","98,918","(+/-7,462)"
People,Ancestry,"French (except Basque)","6,270","(+/-1,972)","10,971","(+/-2,177)","10,107","(+/-2,095)","12,555","(+/-2,436)","8,479","(+/-2,112)","8,164","(+/-2,390)","11,873","(+/-1,876)","8,251","(+/-1,381)","11,417","(+/-2,984)","11,234","(+/-2,468)","14,505","(+/-2,429)","8,772","(+/-1,713)","11,302","(+/-2,235)","8,601","(+/-1,910)"
People,Ancestry,"French Canadian","2,012",(+/-811),"2,598","(+/-1,170)","1,465",(+/-674),"2,987","(+/-1,665)",989,(+/-531),"1,183",(+/-712),"2,541",(+/-901),"1,864",(+/-768),"2,608","(+/-1,055)","2,117",(+/-824),"3,257","(+/-1,255)","1,523",(+/-695),"3,014","(+/-1,204)","2,027",(+/-848)
People,Ancestry,German,"36,575","(+/-4,271)","76,783","(+/-5,346)","72,049","(+/-6,349)","77,358","(+/-5,819)","67,077","(+/-5,678)","82,779","(+/-6,409)","71,211","(+/-5,394)","64,252","(+/-4,455)","63,442","(+/-4,867)","85,217","(+/-6,738)","87,137","(+/-6,082)","50,191","(+/-4,735)","66,804","(+/-5,999)","80,624","(+/-6,808)"
People,Ancestry,Greek,554,(+/-395),"1,813",(+/-796),"2,584","(+/-1,072)","2,982","(+/-1,070)","1,516",(+/-786),"1,953","(+/-1,330)","1,848","(+/-1,171)","4,634","(+/-2,751)",872,(+/-484),"2,891","(+/-1,407)","1,594",(+/-953),"3,697","(+/-1,499)","2,510","(+/-1,210)","1,997",(+/-922)
People,Ancestry,Hungarian,"1,692",(+/-770),"1,980",(+/-908),"1,238",(+/-515),"1,503",(+/-600),"1,569",(+/-706),"2,745","(+/-1,733)","2,006",(+/-734),"1,683",(+/-692),"1,140",(+/-485),"1,781","(+/-1,012)","3,605","(+/-1,371)","1,188",(+/-501),"2,699","(+/-1,107)","1,593",(+/-738)
People,Ancestry,Irish,"37,603","(+/-3,731)","66,499","(+/-5,942)","64,689","(+/-5,298)","62,444","(+/-5,846)","60,517","(+/-5,956)","56,723","(+/-6,302)","79,392","(+/-6,431)","55,162","(+/-5,393)","54,508","(+/-4,599)","66,422","(+/-6,287)","78,473","(+/-6,174)","41,550","(+/-4,167)","66,277","(+/-6,485)","70,592","(+/-5,802)"
People,Ancestry,Italian,"14,393","(+/-2,895)","33,140","(+/-4,206)","26,307","(+/-4,895)","38,580","(+/-4,773)","17,804","(+/-2,990)","24,336","(+/-4,427)","34,464","(+/-4,382)","30,151","(+/-3,734)","21,129","(+/-3,324)","25,432","(+/-4,340)","24,757","(+/-4,468)","24,478","(+/-3,311)","35,152","(+/-5,695)","29,567","(+/-3,801)"
People,Ancestry,Lithuanian,382,(+/-252),"1,248",(+/-880),530,(+/-337),"1,740",(+/-722),781,(+/-636),461,(+/-484),"1,308",(+/-678),582,(+/-422),747,(+/-422),657,(+/-536),"1,322",(+/-638),"2,139","(+/-1,022)",740,(+/-539),470,(+/-353)
People,Ancestry,Norwegian,"1,955",(+/-785),"6,241","(+/-1,566)","4,440","(+/-1,514)","7,414","(+/-2,088)","2,450",(+/-988),"3,467","(+/-1,830)","3,612","(+/-1,165)","3,490","(+/-1,370)","3,454","(+/-1,124)","3,805","(+/-1,342)","5,241","(+/-1,465)","2,939","(+/-1,033)","3,630","(+/-1,042)","3,723","(+/-1,469)"
People,Ancestry,Polish,"5,444","(+/-1,341)","16,355","(+/-2,917)","11,871","(+/-1,759)","17,314","(+/-2,883)","7,101","(+/-2,234)","8,377","(+/-2,115)","13,849","(+/-2,090)","9,425","(+/-2,001)","8,772","(+/-1,766)","10,443","(+/-2,457)","12,335","(+/-2,441)","11,520","(+/-2,496)","12,565","(+/-2,437)","10,555","(+/-2,116)"
People,Ancestry,Portuguese,887,(+/-588),"2,931","(+/-1,792)","1,476",(+/-753),"2,854","(+/-1,369)",356,(+/-329),"1,238","(+/-1,130)","2,394","(+/-1,528)","1,092",(+/-756),448,(+/-303),"1,100",(+/-640),646,(+/-342),805,(+/-463),"2,240","(+/-1,805)","1,414","(+/-1,112)"
People,Ancestry,Russian,"1,303",(+/-716),"3,805","(+/-1,533)","1,288",(+/-477),"3,880",(+/-950),"2,500","(+/-1,040)","1,589",(+/-939),"2,810",(+/-998),"2,260","(+/-1,122)","1,355",(+/-585),"2,462","(+/-1,404)","5,908","(+/-2,290)","2,833","(+/-1,260)","2,150","(+/-1,374)","2,777","(+/-1,135)"
People,Ancestry,Scotch-Irish,"5,829","(+/-1,768)","13,669","(+/-3,033)","8,876","(+/-1,623)","11,989","(+/-2,267)","13,498","(+/-2,471)","12,622","(+/-3,328)","15,277","(+/-2,350)","14,555","(+/-2,284)","13,418","(+/-2,864)","14,361","(+/-2,355)","27,845","(+/-3,642)","8,221","(+/-2,086)","9,634","(+/-1,835)","17,935","(+/-2,966)"
People,Ancestry,Scottish,"9,603","(+/-1,771)","20,013","(+/-3,441)","13,446","(+/-2,168)","20,766","(+/-3,520)","16,476","(+/-2,764)","15,611","(+/-2,958)","18,039","(+/-2,524)","13,742","(+/-2,256)","17,948","(+/-2,578)","17,697","(+/-3,147)","31,110","(+/-3,628)","13,997","(+/-2,260)","13,447","(+/-2,494)","19,540","(+/-3,518)"
People,Ancestry,Slovak,211,(+/-307),"1,474",(+/-565),207,(+/-146),"1,321",(+/-740),259,(+/-244),"1,024","(+/-1,103)","1,116",(+/-598),"1,754",(+/-863),112,(+/-115),583,(+/-375),"1,562",(+/-860),626,(+/-330),773,(+/-381),"1,191",(+/-649)
People,Ancestry,"Subsaharan African","7,564","(+/-2,771)","16,012","(+/-4,021)","6,225","(+/-1,910)","16,759","(+/-5,112)","7,944","(+/-3,158)","24,125","(+/-7,131)","6,818","(+/-1,940)","6,924","(+/-2,294)","12,330","(+/-3,956)","4,628","(+/-2,632)","2,261","(+/-1,124)","31,213","(+/-9,219)","8,137","(+/-2,535)","15,003","(+/-4,615)"
People,Ancestry,Swedish,"2,823","(+/-1,146)","4,892","(+/-1,213)","3,440","(+/-1,079)","6,542","(+/-1,529)","2,485",(+/-781),"2,245","(+/-1,059)","4,229","(+/-1,365)","1,866",(+/-566),"5,638","(+/-2,950)","5,037","(+/-1,701)","6,659","(+/-2,098)","3,317","(+/-1,019)","3,306","(+/-1,277)","2,129",(+/-741)
People,Ancestry,Swiss,"1,006",(+/-584),"1,908",(+/-957),552,(+/-316),"2,122",(+/-980),"1,278",(+/-680),997,(+/-509),753,(+/-500),991,(+/-560),721,(+/-569),857,(+/-403),"1,127",(+/-584),"1,125",(+/-521),659,(+/-362),"1,838",(+/-874)
People,Ancestry,Ukrainian,171,(+/-156),"4,020","(+/-1,743)","1,984","(+/-1,141)","3,092","(+/-1,036)","2,045","(+/-1,629)",550,(+/-376),"1,162",(+/-485),"3,275","(+/-1,265)","1,625",(+/-939),909,(+/-633),"2,362","(+/-1,062)","1,574",(+/-640),"2,542","(+/-2,077)","1,957","(+/-1,169)"
People,Ancestry,Welsh,"1,069",(+/-538),"5,921","(+/-1,629)","3,315","(+/-1,124)","5,706","(+/-1,766)","3,879","(+/-1,235)","2,878","(+/-1,223)","3,362",(+/-940),"3,236","(+/-1,337)","2,298",(+/-781),"3,479","(+/-1,292)","5,397","(+/-1,616)","2,666",(+/-758),"3,886","(+/-1,415)","3,195","(+/-1,032)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","4,004","(+/-1,535)","8,082","(+/-3,254)","4,395","(+/-1,982)","5,094","(+/-2,346)","2,853","(+/-1,528)","4,328","(+/-2,383)","5,447","(+/-1,868)","6,061","(+/-2,845)","5,431","(+/-1,679)","2,943","(+/-1,972)","2,429","(+/-1,731)","5,233","(+/-1,656)","3,658","(+/-1,237)","3,358","(+/-1,732)"
