Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","73,242","(+/-3,471)","50,786","(+/-3,069)","75,668","(+/-3,977)","60,294","(+/-3,597)","26,991","(+/-2,806)","37,619","(+/-2,848)","13,379","(+/-1,832)","16,726","(+/-2,341)","18,435","(+/-2,122)","27,833","(+/-3,666)","34,719","(+/-2,768)","41,409","(+/-4,573)","6,538","(+/-2,198)","20,122","(+/-2,947)","10,676","(+/-1,783)","46,751","(+/-3,456)","61,972","(+/-3,994)","41,229","(+/-3,209)","24,090","(+/-2,067)","21,710","(+/-2,258)","16,300","(+/-1,654)","18,976","(+/-1,990)","17,293","(+/-1,710)","18,354","(+/-1,661)","21,436","(+/-2,190)","10,552","(+/-1,554)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,400",(+/-34),"1,380",(+/-41),"1,500+",(***),"1,500+",(***),"1,060",(+/-38),"1,061",(+/-30),"1,030",(+/-89),974,(+/-54),"1,099",(+/-49),"1,255",(+/-79),"1,101",(+/-40),"1,500+",(***),824,(+/-146),"1,060",(+/-67),"1,029",(+/-39),"1,500+",(***),"1,500+",(***),"1,040",(+/-33),693,(+/-17),764,(+/-27),600,(+/-13),672,(+/-19),637,(+/-14),647,(+/-14),743,(+/-18),607,(+/-16)
Housing,"Gross Rent","Occupied units paying rent","41,560","(+/-3,730)","46,966","(+/-4,186)","55,500","(+/-3,960)","44,962","(+/-3,976)","115,268","(+/-5,804)","149,725","(+/-6,214)","237,006","(+/-6,757)","206,668","(+/-6,643)","206,889","(+/-6,940)","212,848","(+/-8,055)","110,103","(+/-5,711)","261,878","(+/-10,065)","265,069","(+/-9,147)","204,255","(+/-7,710)","229,418","(+/-7,981)","129,327","(+/-5,582)","64,905","(+/-4,221)","88,551","(+/-4,855)","87,868","(+/-4,388)","126,592","(+/-4,987)","89,080","(+/-4,104)","103,325","(+/-4,126)","72,677","(+/-4,383)","72,155","(+/-3,729)","116,310","(+/-4,543)","133,355","(+/-5,642)"
Housing,"Gross Rent","Less than $500","2,008",(+/-650),"3,112","(+/-1,069)","2,351","(+/-1,094)","3,890","(+/-1,048)","7,963","(+/-1,648)","4,493","(+/-1,714)","17,908","(+/-2,705)","30,216","(+/-3,535)","9,498","(+/-1,771)","20,738","(+/-3,617)","6,532","(+/-1,415)","8,104","(+/-2,222)","34,105","(+/-4,489)","15,177","(+/-2,450)","32,235","(+/-4,643)","9,162","(+/-1,914)","3,136","(+/-1,020)","3,544","(+/-1,131)","6,008","(+/-1,330)","6,691","(+/-1,488)","8,453","(+/-1,404)","10,385","(+/-1,739)","8,291","(+/-1,271)","8,199","(+/-1,205)","8,789","(+/-1,822)","13,875","(+/-2,094)"
Housing,"Gross Rent","$500 to $999","4,176","(+/-1,492)","2,274",(+/-932),"3,857","(+/-1,024)","3,254","(+/-1,185)","14,263","(+/-2,664)","9,759","(+/-2,314)","19,503","(+/-2,822)","29,600","(+/-3,250)","16,935","(+/-2,792)","22,300","(+/-3,389)","8,602","(+/-2,045)","18,344","(+/-3,431)","41,266","(+/-4,424)","23,268","(+/-3,852)","38,102","(+/-4,714)","13,239","(+/-2,328)","4,948","(+/-1,166)","10,140","(+/-1,807)","36,111","(+/-3,412)","23,521","(+/-2,734)","40,275","(+/-2,882)","38,417","(+/-3,580)","35,648","(+/-2,909)","31,438","(+/-2,707)","32,793","(+/-2,909)","45,866","(+/-4,115)"
Housing,"Gross Rent","$1,000 to $1,499","3,440","(+/-1,129)","6,588","(+/-1,848)","6,821","(+/-1,394)","5,989","(+/-1,783)","23,190","(+/-2,783)","25,241","(+/-3,274)","34,954","(+/-3,707)","41,283","(+/-4,233)","53,832","(+/-4,323)","25,613","(+/-2,986)","23,885","(+/-2,771)","22,248","(+/-3,653)","69,860","(+/-5,400)","43,477","(+/-4,659)","74,549","(+/-6,450)","20,859","(+/-2,900)","11,097","(+/-1,909)","26,114","(+/-3,795)","27,215","(+/-2,874)","50,617","(+/-3,679)","28,088","(+/-3,143)","38,707","(+/-3,051)","19,836","(+/-2,336)","21,500","(+/-2,413)","44,985","(+/-3,428)","48,741","(+/-4,605)"
Housing,"Gross Rent","$1,500 to $1,999","9,677","(+/-1,849)","11,330","(+/-2,031)","8,189","(+/-1,691)","7,991","(+/-1,785)","32,261","(+/-3,355)","48,251","(+/-3,902)","39,947","(+/-4,130)","44,022","(+/-3,957)","63,368","(+/-5,363)","22,949","(+/-3,141)","36,685","(+/-3,468)","23,142","(+/-3,841)","51,072","(+/-4,824)","52,927","(+/-5,037)","51,801","(+/-4,889)","36,157","(+/-3,871)","17,965","(+/-2,632)","24,717","(+/-3,177)","11,312","(+/-2,009)","27,825","(+/-2,971)","8,222","(+/-1,856)","10,853","(+/-1,720)","5,486","(+/-1,207)","8,361","(+/-1,610)","17,237","(+/-2,442)","17,211","(+/-2,450)"
Housing,"Gross Rent","$2,000 to $2,499","8,811","(+/-2,014)","8,795","(+/-1,777)","12,315","(+/-2,418)","7,483","(+/-1,813)","20,832","(+/-3,233)","37,440","(+/-3,720)","38,308","(+/-4,118)","26,915","(+/-2,724)","35,017","(+/-3,905)","23,063","(+/-2,986)","19,198","(+/-2,507)","28,077","(+/-4,285)","35,794","(+/-4,065)","38,964","(+/-4,061)","19,615","(+/-3,500)","21,549","(+/-2,792)","12,560","(+/-2,445)","13,297","(+/-2,135)","4,868","(+/-1,740)","12,158","(+/-1,810)","2,316",(+/-887),"2,772",(+/-784),"2,524",(+/-959),"1,533",(+/-657),"8,518","(+/-1,825)","4,801","(+/-1,101)"
Housing,"Gross Rent","$2,500 to $2,999","5,781","(+/-1,497)","9,315","(+/-1,808)","6,370","(+/-1,544)","5,550","(+/-1,896)","10,843","(+/-2,035)","14,548","(+/-2,639)","27,930","(+/-2,976)","17,544","(+/-2,966)","15,033","(+/-2,342)","20,723","(+/-2,578)","8,801","(+/-1,942)","24,387","(+/-3,655)","15,406","(+/-2,524)","18,154","(+/-3,240)","7,227","(+/-1,851)","11,279","(+/-2,140)","6,163","(+/-1,596)","5,229","(+/-1,132)","1,382",(+/-510),"3,304","(+/-1,147)",645,(+/-406),757,(+/-442),99,(+/-114),366,(+/-280),"1,402",(+/-638),"1,800",(+/-942)
Housing,"Gross Rent","$3,000 or more","7,667","(+/-1,536)","5,552","(+/-1,381)","15,597","(+/-2,685)","10,805","(+/-2,549)","5,916","(+/-1,354)","9,993","(+/-2,068)","58,456","(+/-5,150)","17,088","(+/-2,307)","13,206","(+/-2,539)","77,462","(+/-5,929)","6,400","(+/-1,659)","137,576","(+/-7,790)","17,566","(+/-2,751)","12,288","(+/-2,298)","5,889","(+/-1,672)","17,082","(+/-2,633)","9,036","(+/-1,526)","5,510","(+/-1,351)",972,(+/-379),"2,476",(+/-926),"1,081",(+/-604),"1,434",(+/-736),793,(+/-389),758,(+/-336),"2,586",(+/-868),"1,061",(+/-380)
Housing,"Gross Rent","Median (dollars)","2,084",(+/-96),"2,010",(+/-105),"2,265",(+/-78),"2,091",(+/-155),"1,689",(+/-44),"1,867",(+/-36),"2,081",(+/-70),"1,525",(+/-54),"1,683",(+/-29),"2,321",(+/-108),"1,719",(+/-32),"3,121",(+/-100),"1,407",(+/-39),"1,691",(+/-39),"1,305",(+/-36),"1,796",(+/-45),"1,869",(+/-57),"1,591",(+/-58),"1,027",(+/-41),"1,300",(+/-38),953,(+/-27),"1,027",(+/-26),884,(+/-24),952,(+/-26),"1,164",(+/-30),"1,057",(+/-30)
Housing,"Gross Rent","No rent paid","3,316","(+/-1,102)","1,848",(+/-775),"2,999",(+/-946),"2,718",(+/-920),"3,369","(+/-1,023)","5,879","(+/-1,475)","3,316","(+/-1,081)","5,162","(+/-1,468)","4,737","(+/-1,200)","4,370","(+/-1,359)","6,930","(+/-1,465)","3,874","(+/-1,291)","7,422","(+/-2,315)","5,599","(+/-1,671)","6,053","(+/-1,761)","3,317","(+/-1,112)","2,550",(+/-804),"4,100","(+/-1,570)","5,325","(+/-1,155)","3,476",(+/-976),"5,628",(+/-938),"5,282","(+/-1,399)","4,570",(+/-832),"5,576",(+/-969),"2,808",(+/-820),"5,114","(+/-1,232)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","276,622","(+/-4,023)","240,953","(+/-4,791)","271,653","(+/-6,464)","247,404","(+/-4,028)","254,974","(+/-5,960)","278,514","(+/-6,611)","307,407","(+/-7,419)","304,996","(+/-6,955)","288,824","(+/-7,187)","315,453","(+/-9,245)","267,029","(+/-4,958)","393,204","(+/-9,166)","312,338","(+/-9,830)","285,902","(+/-8,425)","284,537","(+/-6,935)","298,663","(+/-5,079)","263,599","(+/-3,579)","288,992","(+/-4,160)","322,121","(+/-4,940)","335,098","(+/-3,882)","332,099","(+/-3,669)","323,641","(+/-3,645)","322,798","(+/-4,898)","323,061","(+/-4,166)","324,724","(+/-3,164)","344,661","(+/-4,933)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","8,978","(+/-1,838)","7,735","(+/-1,644)","10,144","(+/-1,753)","6,577","(+/-1,349)","16,414","(+/-2,883)","19,851","(+/-2,746)","19,128","(+/-3,036)","32,248","(+/-3,895)","19,753","(+/-3,122)","21,142","(+/-2,413)","17,304","(+/-2,447)","20,491","(+/-3,430)","38,391","(+/-4,573)","25,885","(+/-3,627)","41,951","(+/-4,950)","16,203","(+/-2,313)","10,060","(+/-1,988)","10,439","(+/-1,909)","18,636","(+/-2,336)","18,231","(+/-2,418)","18,279","(+/-1,975)","21,580","(+/-2,301)","17,127","(+/-1,991)","14,652","(+/-1,832)","18,413","(+/-2,563)","26,510","(+/-2,867)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","4,448",(+/-993),"3,590","(+/-1,152)","3,904","(+/-1,153)","6,651","(+/-2,200)","9,594","(+/-1,832)","10,759","(+/-1,979)","14,895","(+/-2,414)","21,938","(+/-2,857)","13,498","(+/-2,545)","13,902","(+/-2,744)","9,449","(+/-1,716)","12,416","(+/-2,842)","25,663","(+/-3,780)","12,909","(+/-2,224)","23,801","(+/-3,332)","9,576","(+/-1,716)","4,694","(+/-1,382)","7,581","(+/-1,671)","13,356","(+/-1,910)","8,774","(+/-1,936)","12,273","(+/-1,699)","12,499","(+/-1,895)","14,133","(+/-1,957)","11,527","(+/-1,458)","12,309","(+/-1,802)","17,764","(+/-2,572)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$15,000 to $24,999","10,626","(+/-1,769)","9,009","(+/-1,688)","8,633","(+/-1,347)","8,247","(+/-1,880)","14,699","(+/-2,213)","20,642","(+/-3,349)","20,324","(+/-2,815)","23,483","(+/-3,376)","20,860","(+/-2,783)","16,730","(+/-2,182)","17,234","(+/-2,673)","15,863","(+/-3,078)","30,473","(+/-4,211)","23,103","(+/-3,254)","30,074","(+/-3,846)","17,373","(+/-2,403)","11,663","(+/-1,719)","14,709","(+/-2,245)","24,117","(+/-2,470)","17,855","(+/-2,212)","25,961","(+/-2,233)","22,638","(+/-2,552)","23,837","(+/-2,306)","20,291","(+/-2,231)","21,385","(+/-2,534)","27,374","(+/-2,929)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$25,000 to $34,999","12,687","(+/-2,303)","9,018","(+/-1,647)","10,201","(+/-1,793)","7,784","(+/-1,720)","15,440","(+/-2,460)","23,661","(+/-3,523)","16,666","(+/-2,366)","20,258","(+/-2,942)","21,904","(+/-3,253)","15,244","(+/-2,677)","16,940","(+/-2,855)","14,280","(+/-2,605)","27,250","(+/-4,043)","22,305","(+/-2,699)","25,810","(+/-3,831)","13,880","(+/-2,380)","11,923","(+/-2,017)","16,850","(+/-3,103)","24,007","(+/-2,584)","24,504","(+/-3,104)","25,340","(+/-2,223)","25,386","(+/-2,837)","24,760","(+/-2,452)","25,864","(+/-2,430)","22,004","(+/-2,517)","28,307","(+/-2,503)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$35,000 to $49,999","18,123","(+/-2,348)","13,781","(+/-1,942)","16,488","(+/-2,414)","13,696","(+/-2,223)","25,135","(+/-2,877)","27,243","(+/-3,069)","24,558","(+/-3,060)","33,045","(+/-4,019)","29,891","(+/-3,255)","19,288","(+/-2,882)","24,022","(+/-2,656)","15,709","(+/-3,112)","32,827","(+/-3,796)","31,190","(+/-3,304)","31,518","(+/-4,545)","20,549","(+/-2,846)","17,208","(+/-2,782)","25,625","(+/-3,053)","37,892","(+/-3,222)","31,433","(+/-3,645)","38,072","(+/-2,410)","34,105","(+/-2,655)","37,624","(+/-3,168)","39,605","(+/-3,006)","35,791","(+/-3,342)","43,077","(+/-3,527)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$50,000 to $74,999","27,003","(+/-2,626)","27,884","(+/-3,092)","28,673","(+/-2,881)","22,714","(+/-2,448)","35,980","(+/-3,635)","39,227","(+/-3,887)","41,291","(+/-4,357)","43,230","(+/-3,764)","40,231","(+/-3,911)","31,767","(+/-3,566)","31,825","(+/-2,791)","32,787","(+/-4,551)","46,193","(+/-5,399)","48,234","(+/-5,061)","47,229","(+/-5,443)","33,260","(+/-4,301)","29,739","(+/-2,744)","42,138","(+/-3,780)","51,282","(+/-3,766)","55,003","(+/-3,705)","60,693","(+/-3,421)","57,343","(+/-3,658)","51,020","(+/-3,027)","59,361","(+/-3,673)","54,683","(+/-3,600)","60,028","(+/-3,855)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$75,000 to $99,999","27,742","(+/-2,805)","25,323","(+/-2,489)","26,747","(+/-2,872)","23,422","(+/-2,631)","30,568","(+/-3,052)","30,968","(+/-3,458)","33,595","(+/-3,956)","32,001","(+/-4,225)","36,750","(+/-3,869)","23,491","(+/-2,980)","30,492","(+/-3,198)","36,867","(+/-4,994)","31,482","(+/-3,745)","32,728","(+/-3,466)","24,762","(+/-3,258)","32,758","(+/-3,919)","27,268","(+/-2,455)","40,176","(+/-4,011)","41,763","(+/-2,908)","47,871","(+/-3,202)","46,737","(+/-2,947)","40,534","(+/-3,539)","44,381","(+/-2,734)","45,460","(+/-2,955)","41,979","(+/-3,076)","43,141","(+/-3,819)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$100,000 to $149,999","49,036","(+/-3,483)","53,835","(+/-3,366)","46,828","(+/-3,638)","47,098","(+/-3,793)","48,379","(+/-3,611)","45,479","(+/-3,538)","44,856","(+/-4,341)","43,535","(+/-3,994)","47,574","(+/-4,232)","42,029","(+/-4,088)","48,856","(+/-4,395)","48,568","(+/-4,437)","35,258","(+/-4,117)","43,039","(+/-3,571)","30,888","(+/-3,935)","50,535","(+/-3,827)","43,054","(+/-2,927)","54,758","(+/-3,858)","55,801","(+/-3,761)","60,435","(+/-3,307)","59,720","(+/-3,825)","52,783","(+/-3,131)","58,265","(+/-3,595)","61,894","(+/-3,172)","58,554","(+/-4,093)","52,371","(+/-3,715)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$150,000 to $199,999","41,833","(+/-3,148)","35,673","(+/-3,284)","33,816","(+/-2,883)","39,252","(+/-3,564)","28,797","(+/-2,980)","28,727","(+/-3,101)","30,823","(+/-3,697)","24,398","(+/-3,159)","24,833","(+/-3,232)","29,900","(+/-3,462)","29,141","(+/-3,023)","40,111","(+/-4,536)","18,903","(+/-3,048)","21,030","(+/-2,775)","15,230","(+/-2,644)","30,652","(+/-2,764)","33,089","(+/-2,855)","34,852","(+/-3,139)","26,000","(+/-2,414)","34,007","(+/-2,890)","26,159","(+/-2,428)","28,721","(+/-2,868)","26,159","(+/-2,116)","24,635","(+/-2,001)","31,062","(+/-2,818)","23,783","(+/-2,203)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$200,000 or more","76,146","(+/-3,768)","55,105","(+/-3,551)","86,219","(+/-4,357)","71,963","(+/-3,965)","29,968","(+/-2,811)","31,957","(+/-3,106)","61,271","(+/-4,446)","30,860","(+/-2,949)","33,530","(+/-3,412)","101,960","(+/-5,700)","41,766","(+/-2,901)","156,112","(+/-7,380)","25,898","(+/-3,607)","25,479","(+/-2,674)","13,274","(+/-2,167)","73,877","(+/-3,826)","74,901","(+/-3,067)","41,864","(+/-3,351)","29,267","(+/-2,683)","36,985","(+/-3,111)","18,865","(+/-2,065)","28,052","(+/-2,188)","25,492","(+/-2,499)","19,772","(+/-1,827)","28,544","(+/-2,325)","22,306","(+/-2,426)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Median household income (dollars)","128,353","(+/-4,754)","121,599","(+/-3,650)","132,579","(+/-4,719)","134,813","(+/-5,741)","82,632","(+/-4,123)","73,107","(+/-3,894)","86,861","(+/-4,695)","61,706","(+/-1,963)","73,245","(+/-4,462)","115,910","(+/-5,440)","88,756","(+/-4,616)","149,367","(+/-6,879)","50,491","(+/-2,454)","64,262","(+/-2,904)","45,630","(+/-2,552)","103,101","(+/-2,594)","118,721","(+/-4,629)","91,627","(+/-3,461)","70,516","(+/-2,394)","81,134","(+/-1,924)","68,433","(+/-1,894)","68,901","(+/-2,649)","71,044","(+/-2,304)","70,159","(+/-1,823)","73,702","(+/-2,587)","61,535","(+/-1,563)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Mean household income (dollars)","164,803","(+/-4,449)","142,975","(+/-4,174)","182,619","(+/-4,669)","166,162","(+/-5,597)","107,203","(+/-4,198)","100,680","(+/-4,197)","132,817","(+/-6,383)","91,305","(+/-3,358)","101,794","(+/-3,979)","200,541","(+/-9,560)","115,569","(+/-3,885)","237,485","(+/-10,250)","82,482","(+/-4,394)","93,267","(+/-4,123)","65,182","(+/-2,622)","164,192","(+/-5,554)","168,028","(+/-5,438)","119,379","(+/-3,905)","98,727","(+/-3,027)","105,467","(+/-2,832)","85,274","(+/-2,363)","93,701","(+/-2,373)","92,232","(+/-2,113)","88,601","(+/-2,146)","96,498","(+/-2,385)","82,603","(+/-2,513)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","778,906","(+/-10,052)","769,959","(+/-11,564)","749,444","(+/-18,374)","762,087","(+/-6,325)","732,329","(+/-18,699)","689,908","(+/-22,659)","717,629","(+/-23,256)","736,211","(+/-23,092)","721,987","(+/-22,469)","715,200","(+/-23,748)","747,909","(+/-13,395)","732,251","(+/-16,884)","720,615","(+/-19,957)","735,805","(+/-25,921)","707,788","(+/-20,537)","768,897","(+/-9,975)","763,641","(+/-5,922)","765,629","(+/-5,763)","763,419","(+/-6,327)","770,485","(+/-6,016)","742,710","(+/-7,218)","747,814","(+/-3,927)","752,813","(+/-6,197)","749,759","(+/-6,113)","759,616","(+/-2,628)","769,594","(+/-5,952)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","753,866","(+/-11,892)","726,167","(+/-11,948)","714,368","(+/-17,965)","733,326","(+/-7,341)","684,756","(+/-18,144)","631,317","(+/-20,132)","669,602","(+/-22,537)","701,597","(+/-21,746)","688,101","(+/-21,843)","681,100","(+/-23,450)","713,860","(+/-13,566)","712,917","(+/-16,592)","674,610","(+/-19,216)","671,643","(+/-24,148)","665,011","(+/-20,375)","726,429","(+/-11,648)","733,098","(+/-7,946)","729,099","(+/-6,439)","727,841","(+/-6,465)","747,513","(+/-7,029)","711,472","(+/-6,767)","724,611","(+/-5,176)","724,437","(+/-6,937)","704,632","(+/-6,996)","737,078","(+/-4,013)","745,639","(+/-5,852)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","625,740","(+/-12,954)","555,931","(+/-15,097)","552,432","(+/-16,321)","581,058","(+/-13,235)","410,036","(+/-16,334)","378,206","(+/-17,114)","416,195","(+/-17,473)","390,264","(+/-18,408)","398,831","(+/-18,293)","474,036","(+/-19,937)","464,999","(+/-13,814)","604,646","(+/-15,930)","361,153","(+/-17,390)","367,276","(+/-17,396)","320,456","(+/-16,590)","554,901","(+/-13,345)","529,163","(+/-10,369)","522,268","(+/-13,215)","508,890","(+/-9,754)","571,568","(+/-9,001)","506,392","(+/-9,830)","499,136","(+/-9,490)","517,347","(+/-9,935)","497,153","(+/-9,197)","522,173","(+/-8,739)","486,113","(+/-11,212)"
Socioeconomic,"Health Insurance Coverage","With public coverage","249,754","(+/-8,900)","270,050","(+/-11,181)","268,272","(+/-13,301)","255,484","(+/-12,720)","351,144","(+/-14,816)","333,244","(+/-14,461)","308,896","(+/-17,683)","386,095","(+/-14,976)","366,627","(+/-16,901)","256,494","(+/-13,482)","327,442","(+/-12,677)","198,868","(+/-9,226)","385,239","(+/-16,390)","391,267","(+/-20,121)","461,564","(+/-18,990)","271,829","(+/-10,563)","311,580","(+/-10,082)","320,802","(+/-12,607)","338,640","(+/-10,092)","296,376","(+/-9,027)","344,434","(+/-8,318)","343,159","(+/-9,955)","333,677","(+/-8,679)","326,865","(+/-7,746)","322,284","(+/-9,137)","374,273","(+/-10,176)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","25,040","(+/-5,741)","43,792","(+/-5,271)","35,076","(+/-4,839)","28,761","(+/-4,500)","47,573","(+/-4,736)","58,591","(+/-8,406)","48,027","(+/-5,702)","34,614","(+/-5,143)","33,886","(+/-4,452)","34,100","(+/-5,018)","34,049","(+/-4,785)","19,334","(+/-3,305)","46,005","(+/-6,834)","64,162","(+/-6,536)","42,777","(+/-6,145)","42,468","(+/-6,144)","30,543","(+/-4,470)","36,530","(+/-4,335)","35,578","(+/-4,207)","22,972","(+/-3,190)","31,238","(+/-3,507)","23,203","(+/-2,971)","28,376","(+/-3,552)","45,127","(+/-5,207)","22,538","(+/-2,959)","23,955","(+/-2,794)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","164,431","(+/-7,244)","178,437","(+/-6,956)","153,879","(+/-7,791)","179,610","(+/-6,504)","166,082","(+/-7,904)","131,976","(+/-9,459)","140,066","(+/-11,915)","169,112","(+/-11,969)","168,306","(+/-12,868)","141,196","(+/-10,525)","168,699","(+/-6,433)","98,556","(+/-7,961)","134,439","(+/-9,306)","168,579","(+/-11,304)","187,473","(+/-10,294)","171,914","(+/-5,500)","197,277","(+/-4,857)","181,589","(+/-2,898)","150,735","(+/-3,825)","160,375","(+/-3,454)","157,479","(+/-4,066)","171,520","(+/-3,081)","166,872","(+/-4,784)","160,607","(+/-3,501)","168,333","(+/-1,965)","165,631","(+/-4,636)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","4,234","(+/-1,981)","7,419","(+/-2,097)","4,309","(+/-1,770)","4,616","(+/-1,814)","6,951","(+/-1,962)","5,179","(+/-2,070)","4,603","(+/-1,866)","3,496","(+/-1,829)","3,778","(+/-1,925)","2,446","(+/-1,517)","3,053",(+/-972),396,(+/-381),"2,923","(+/-1,316)","3,345","(+/-1,413)","6,558","(+/-2,340)","6,368","(+/-2,462)","2,713","(+/-1,071)","3,326","(+/-1,619)","4,674","(+/-1,738)","3,135","(+/-1,245)","6,572","(+/-1,824)","3,751","(+/-1,113)","6,674","(+/-1,679)","11,771","(+/-2,611)","3,178","(+/-1,340)","4,183","(+/-1,298)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",4.1,(+/-0.8),4.5,(+/-0.9),4.1,(+/-0.9),4.1,(+/-1.0),9.5,(+/-1.3),13.5,(+/-1.5),14.9,(+/-1.7),17.4,(+/-1.9),14.5,(+/-1.9),12.3,(+/-1.7),11.6,(+/-1.5),5.7,(+/-1.5),24.0,(+/-2.6),15.0,(+/-1.7),24.7,(+/-2.7),7.2,(+/-1.2),7.0,(+/-1.0),6.2,(+/-1.1),8.9,(+/-1.1),7.8,(+/-1.3),8.9,(+/-1.1),9.5,(+/-1.3),9.0,(+/-1.0),7.5,(+/-0.8),8.2,(+/-1.2),12.8,(+/-1.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",6.6,(+/-1.8),6.3,(+/-1.5),4.9,(+/-1.7),5.3,(+/-1.6),12.8,(+/-2.1),18.4,(+/-2.9),19.4,(+/-3.1),24.3,(+/-3.3),20.6,(+/-3.9),13.2,(+/-2.7),15.5,(+/-2.4),7.4,(+/-2.8),32.2,(+/-4.7),22.1,(+/-3.0),34.0,(+/-4.3),11.3,(+/-2.2),11.4,(+/-1.9),10.8,(+/-2.0),14.5,(+/-2.1),13.6,(+/-2.7),14.1,(+/-2.1),15.9,(+/-2.5),15.4,(+/-1.8),12.6,(+/-1.8),14.1,(+/-2.3),20.7,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",6.3,(+/-3.9),7.9,(+/-3.8),1.5,(+/-1.5),6.1,(+/-5.8),13.9,(+/-5.7),12.8,(+/-4.9),19.6,(+/-6.3),13.0,(+/-6.4),22.2,(+/-8.4),9.5,(+/-5.1),10.4,(+/-4.8),1.7,(+/-1.8),29.5,(+/-9.9),10.8,(+/-5.8),38.7,(+/-9.8),9.5,(+/-4.5),15.5,(+/-6.6),11.6,(+/-4.4),19.5,(+/-5.9),10.6,(+/-4.9),10.2,(+/-3.7),13.8,(+/-6.4),16.9,(+/-5.1),13.2,(+/-5.1),12.2,(+/-6.0),13.5,(+/-6.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.5,(+/-0.6),2.3,(+/-0.7),3.2,(+/-0.9),2.1,(+/-0.7),6.3,(+/-1.5),10.8,(+/-1.8),10.5,(+/-1.8),9.8,(+/-1.7),13.8,(+/-2.1),9.1,(+/-1.6),9.3,(+/-1.6),4.1,(+/-1.4),12.1,(+/-2.9),8.3,(+/-1.8),15.4,(+/-3.9),3.9,(+/-1.0),5.5,(+/-1.1),4.7,(+/-1.0),4.8,(+/-0.8),3.5,(+/-0.9),4.2,(+/-0.9),4.5,(+/-1.2),4.4,(+/-0.8),3.4,(+/-0.6),2.7,(+/-0.7),6.8,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.1,(+/-1.4),2.1,(+/-0.9),3.1,(+/-1.5),2.3,(+/-1.2),6.3,(+/-1.6),13.9,(+/-3.5),12.3,(+/-3.0),9.9,(+/-3.2),16.2,(+/-3.8),10.1,(+/-2.6),9.6,(+/-2.3),3.9,(+/-2.0),14.0,(+/-4.7),12.2,(+/-3.4),20.8,(+/-6.2),4.8,(+/-1.9),9.5,(+/-2.0),8.9,(+/-2.2),5.6,(+/-1.5),5.0,(+/-2.0),3.8,(+/-1.3),5.1,(+/-1.7),5.8,(+/-1.5),4.1,(+/-1.0),3.8,(+/-1.5),9.7,(+/-2.5)
