Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","85 years and over","16,955","(+/-1,930)","14,214","(+/-1,973)","14,575","(+/-1,839)","11,001","(+/-1,482)","9,398","(+/-1,497)","11,966","(+/-1,701)","11,127","(+/-1,590)","14,305","(+/-1,675)","9,488","(+/-1,510)"
People,"Sex and Age","Median age (years)",44.3,(+/-0.3),40.2,(+/-0.3),41.1,(+/-0.3),38.0,(+/-0.4),38.5,(+/-0.7),39.2,(+/-0.6),35.6,(+/-0.5),41.4,(+/-0.5),34.5,(+/-0.5)
People,"Sex and Age","18 years and over","637,851","(+/-2,249)","641,890","(+/-2,600)","633,111","(+/-2,436)","623,700","(+/-2,953)","606,935","(+/-9,616)","622,903","(+/-8,398)","638,204","(+/-9,136)","599,957","(+/-6,353)","558,578","(+/-6,116)"
People,"Sex and Age","65 years and over","169,766","(+/-1,794)","151,406","(+/-1,594)","155,628","(+/-1,966)","129,388","(+/-2,032)","124,420","(+/-4,116)","139,734","(+/-3,368)","117,435","(+/-3,887)","151,897","(+/-3,430)","106,922","(+/-3,241)"
People,Race,"Total population","788,014","(+/-2,515)","806,407","(+/-3,206)","798,804","(+/-3,185)","808,625","(+/-3,178)","793,338","(+/-13,346)","796,534","(+/-11,694)","813,590","(+/-11,896)","773,599","(+/-9,187)","747,578","(+/-8,637)"
People,Race,"One race","741,486","(+/-5,386)","751,716","(+/-6,657)","746,825","(+/-6,412)","732,426","(+/-8,083)","716,312","(+/-13,070)","737,600","(+/-11,422)","746,149","(+/-12,777)","727,446","(+/-8,935)","697,179","(+/-10,417)"
People,Race,White,"702,295","(+/-4,542)","676,123","(+/-5,699)","632,340","(+/-5,264)","619,730","(+/-4,216)","558,274","(+/-11,430)","629,542","(+/-9,104)","585,997","(+/-9,975)","568,274","(+/-7,528)","177,185","(+/-7,117)"
People,Race,"Black or African American","16,715","(+/-1,866)","46,557","(+/-2,585)","77,882","(+/-3,079)","64,825","(+/-4,595)","98,493","(+/-9,732)","66,789","(+/-8,301)","126,400","(+/-9,265)","132,112","(+/-6,901)","459,668","(+/-7,057)"
People,Race,"American Indian and Alaska Native","1,470",(+/-963),773,(+/-449),"3,225","(+/-1,547)",799,(+/-410),"6,837","(+/-6,278)","3,806","(+/-2,167)","2,011",(+/-995),"1,532",(+/-782),"3,593","(+/-1,932)"
People,Race,Asian,"7,245","(+/-1,275)","12,524","(+/-1,228)","11,080",(+/-970),"18,368","(+/-1,628)","30,961","(+/-3,215)","8,877","(+/-1,343)","14,119","(+/-2,000)","12,990","(+/-2,482)","14,571","(+/-2,393)"
People,Race,"Native Hawaiian and Other Pacific Islander",134,(+/-225),457,(+/-109),294,(+/-284),"1,459","(+/-1,720)",671,(+/-865),469,(+/-484),319,(+/-338),0,(+/-226),450,(+/-465)
People,Race,"Some other race","13,627","(+/-3,593)","15,282","(+/-4,628)","22,004","(+/-3,805)","27,245","(+/-4,984)","21,076","(+/-4,790)","28,117","(+/-5,868)","17,303","(+/-3,262)","12,538","(+/-3,080)","41,712","(+/-6,669)"
People,Race,"Two or more races","46,528","(+/-4,505)","54,691","(+/-5,639)","51,979","(+/-5,357)","76,199","(+/-7,598)","77,026","(+/-9,491)","58,934","(+/-8,941)","67,441","(+/-6,838)","46,153","(+/-5,135)","50,399","(+/-8,189)"
People,"Hispanic or Latino and Race","Total population","788,014","(+/-2,515)","806,407","(+/-3,206)","798,804","(+/-3,185)","808,625","(+/-3,178)","793,338","(+/-13,346)","796,534","(+/-11,694)","813,590","(+/-11,896)","773,599","(+/-9,187)","747,578","(+/-8,637)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","42,073","(+/-1,152)","47,760",(+/-551),"52,557",(+/-528),"73,255","(+/-1,248)","78,931","(+/-7,525)","66,049","(+/-6,019)","69,000","(+/-6,043)","30,320","(+/-3,346)","73,699","(+/-2,958)"
People,"Hispanic or Latino and Race",Mexican,"20,422","(+/-4,683)","23,385","(+/-3,640)","21,235","(+/-3,021)","38,494","(+/-6,004)","34,633","(+/-6,727)","28,161","(+/-4,969)","36,902","(+/-6,166)","17,374","(+/-3,346)","36,054","(+/-5,703)"
People,"Hispanic or Latino and Race","Puerto Rican","4,662","(+/-1,635)","3,305","(+/-1,391)","4,813","(+/-2,073)","5,690","(+/-2,486)","5,378","(+/-1,997)","3,143","(+/-1,671)","9,742","(+/-4,231)","1,874",(+/-865),"1,345",(+/-794)
People,"Hispanic or Latino and Race",Cuban,516,(+/-429),"1,279",(+/-894),"1,403","(+/-1,117)","2,412","(+/-1,224)","4,316","(+/-1,699)","3,213","(+/-1,999)","1,416",(+/-871),"1,158",(+/-873),878,(+/-643)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","16,473","(+/-4,579)","19,791","(+/-3,548)","25,106","(+/-3,292)","26,659","(+/-5,394)","34,604","(+/-7,707)","31,532","(+/-6,002)","20,940","(+/-3,939)","9,914","(+/-3,045)","35,422","(+/-6,193)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","745,941","(+/-3,114)","758,647","(+/-3,233)","746,247","(+/-3,253)","735,370","(+/-3,406)","714,407","(+/-13,254)","730,485","(+/-11,345)","744,590","(+/-11,433)","743,279","(+/-8,985)","673,879","(+/-8,295)"
People,"Place of Birth","Total population","788,014","(+/-2,515)","806,407","(+/-3,206)","798,804","(+/-3,185)","808,625","(+/-3,178)","793,338","(+/-13,346)","796,534","(+/-11,694)","813,590","(+/-11,896)","773,599","(+/-9,187)","747,578","(+/-8,637)"
People,"Place of Birth",Native,"762,442","(+/-3,719)","764,970","(+/-5,636)","764,937","(+/-4,224)","752,459","(+/-7,533)","701,928","(+/-13,790)","749,938","(+/-11,307)","762,130","(+/-11,449)","746,098","(+/-9,813)","689,567","(+/-10,223)"
People,"Place of Birth","Born in United States","755,170","(+/-3,893)","758,100","(+/-5,701)","758,301","(+/-4,491)","740,380","(+/-7,649)","690,832","(+/-13,165)","741,784","(+/-11,121)","745,297","(+/-11,667)","739,093","(+/-9,943)","684,484","(+/-10,335)"
People,"Place of Birth","State of residence","465,317","(+/-9,680)","453,952","(+/-11,001)","462,170","(+/-10,772)","460,715","(+/-10,414)","354,522","(+/-12,694)","450,154","(+/-13,449)","395,405","(+/-11,543)","512,181","(+/-10,535)","495,506","(+/-12,187)"
People,"Place of Birth","Different state","289,853","(+/-8,649)","304,148","(+/-10,343)","296,131","(+/-9,777)","279,665","(+/-10,872)","336,310","(+/-11,574)","291,630","(+/-11,493)","349,892","(+/-10,476)","226,912","(+/-8,130)","188,978","(+/-11,825)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","7,272","(+/-1,917)","6,870","(+/-1,424)","6,636","(+/-1,519)","12,079","(+/-2,774)","11,096","(+/-2,733)","8,154","(+/-2,205)","16,833","(+/-3,070)","7,005","(+/-1,510)","5,083","(+/-1,397)"
People,"Place of Birth",Foreign-born,"25,572","(+/-2,955)","41,437","(+/-4,620)","33,867","(+/-2,987)","56,166","(+/-6,150)","91,410","(+/-9,132)","46,596","(+/-6,014)","51,460","(+/-6,305)","27,501","(+/-4,056)","58,011","(+/-5,293)"
People,Ancestry,"Total population","788,014","(+/-2,515)","806,407","(+/-3,206)","798,804","(+/-3,185)","808,625","(+/-3,178)","793,338","(+/-13,346)","796,534","(+/-11,694)","813,590","(+/-11,896)","773,599","(+/-9,187)","747,578","(+/-8,637)"
People,Ancestry,American,"124,805","(+/-8,032)","99,024","(+/-9,200)","80,894","(+/-6,209)","94,021","(+/-8,207)","81,250","(+/-8,687)","119,090","(+/-10,680)","71,805","(+/-8,094)","102,746","(+/-8,874)","27,495","(+/-5,337)"
People,Ancestry,Arab,"1,055",(+/-699),"3,832","(+/-2,041)","1,158",(+/-723),"9,258","(+/-4,211)","10,223","(+/-3,708)","2,375","(+/-1,379)","4,120","(+/-2,225)","3,662","(+/-2,564)","2,586","(+/-1,749)"
People,Ancestry,Czech,"1,488",(+/-834),"1,379",(+/-983),996,(+/-586),792,(+/-442),711,(+/-391),731,(+/-435),"1,936",(+/-789),980,(+/-623),119,(+/-145)
People,Ancestry,Danish,"1,051",(+/-583),"1,524",(+/-665),"1,692","(+/-1,235)",690,(+/-453),"1,235",(+/-687),317,(+/-202),833,(+/-439),913,(+/-421),196,(+/-193)
People,Ancestry,Dutch,"5,823","(+/-1,543)","7,130","(+/-1,843)","7,548","(+/-1,771)","7,597","(+/-1,963)","4,943","(+/-1,319)","5,077","(+/-1,259)","5,918","(+/-1,512)","3,553","(+/-1,041)","2,360",(+/-959)
People,Ancestry,English,"134,486","(+/-9,659)","114,329","(+/-7,243)","111,861","(+/-7,673)","128,253","(+/-9,141)","113,655","(+/-8,137)","102,566","(+/-7,287)","103,787","(+/-8,100)","106,140","(+/-8,210)","42,609","(+/-4,966)"
People,Ancestry,"French (except Basque)","7,392","(+/-1,524)","10,956","(+/-2,439)","9,666","(+/-2,452)","10,901","(+/-2,887)","11,568","(+/-2,497)","11,598","(+/-2,507)","17,947","(+/-3,618)","8,213","(+/-1,730)","4,600","(+/-1,260)"
People,Ancestry,"French Canadian","1,397",(+/-542),"2,185",(+/-908),"1,847",(+/-659),"2,022","(+/-1,181)","2,077","(+/-1,061)","1,489",(+/-618),"1,658",(+/-749),"1,207",(+/-815),498,(+/-347)
People,Ancestry,German,"78,540","(+/-7,320)","87,126","(+/-8,102)","79,167","(+/-6,336)","64,050","(+/-5,837)","74,353","(+/-7,963)","73,356","(+/-8,302)","82,623","(+/-6,022)","55,092","(+/-4,648)","23,812","(+/-3,559)"
People,Ancestry,Greek,859,(+/-411),"2,943","(+/-1,447)","2,067","(+/-1,014)","1,283",(+/-922),"2,862","(+/-1,570)","1,178",(+/-515),970,(+/-561),"1,188",(+/-832),385,(+/-267)
People,Ancestry,Hungarian,971,(+/-453),"1,010",(+/-527),"1,213",(+/-735),"1,221",(+/-589),"1,036",(+/-494),"1,425",(+/-765),"2,651","(+/-1,070)",494,(+/-284),416,(+/-508)
People,Ancestry,Irish,"72,065","(+/-6,349)","77,451","(+/-6,561)","87,820","(+/-8,275)","71,721","(+/-7,156)","66,848","(+/-6,684)","69,997","(+/-5,642)","72,516","(+/-6,139)","67,848","(+/-5,332)","30,114","(+/-5,079)"
People,Ancestry,Italian,"19,745","(+/-4,229)","21,850","(+/-3,165)","18,559","(+/-3,061)","15,988","(+/-3,317)","21,661","(+/-3,763)","15,992","(+/-2,761)","21,485","(+/-3,248)","13,288","(+/-2,272)","9,912","(+/-2,537)"
People,Ancestry,Lithuanian,664,(+/-421),681,(+/-477),718,(+/-582),244,(+/-244),273,(+/-217),"1,198","(+/-1,024)","1,350",(+/-781),111,(+/-144),122,(+/-120)
People,Ancestry,Norwegian,"2,207",(+/-869),"3,086",(+/-864),"3,786","(+/-1,294)","2,999","(+/-1,101)","3,820","(+/-1,274)","4,654","(+/-1,765)","5,453","(+/-1,855)","3,939","(+/-1,440)","1,460",(+/-614)
People,Ancestry,Polish,"6,986","(+/-1,664)","10,105","(+/-2,245)","9,250","(+/-2,230)","11,114","(+/-3,374)","10,241","(+/-2,065)","9,438","(+/-1,837)","9,944","(+/-2,055)","5,397","(+/-1,525)","3,073","(+/-1,124)"
People,Ancestry,Portuguese,836,(+/-643),"1,005",(+/-531),574,(+/-287),"1,226",(+/-653),720,(+/-565),882,(+/-406),"1,218",(+/-829),"1,031",(+/-555),870,(+/-797)
People,Ancestry,Russian,796,(+/-404),"1,496",(+/-536),"2,646","(+/-1,619)","1,834","(+/-1,037)","2,932","(+/-1,725)",953,(+/-460),"1,606",(+/-809),729,(+/-358),524,(+/-346)
People,Ancestry,Scotch-Irish,"19,101","(+/-2,890)","19,296","(+/-2,840)","15,134","(+/-2,752)","14,832","(+/-3,141)","16,600","(+/-2,713)","10,377","(+/-2,230)","12,271","(+/-2,446)","9,923","(+/-2,040)","5,660","(+/-1,517)"
People,Ancestry,Scottish,"19,151","(+/-3,377)","21,928","(+/-3,478)","20,549","(+/-3,399)","15,219","(+/-2,581)","21,069","(+/-3,091)","14,444","(+/-1,929)","17,449","(+/-2,601)","12,257","(+/-1,903)","5,605","(+/-1,606)"
People,Ancestry,Slovak,160,(+/-165),626,(+/-437),697,(+/-491),500,(+/-503),344,(+/-293),396,(+/-366),541,(+/-489),364,(+/-346),306,(+/-349)
People,Ancestry,"Subsaharan African","2,010","(+/-1,405)","5,158","(+/-2,728)","3,194","(+/-1,454)","5,704","(+/-2,877)","18,085","(+/-6,639)","8,845","(+/-5,112)","12,184","(+/-3,883)","6,167","(+/-2,370)","15,157","(+/-3,839)"
People,Ancestry,Swedish,"3,542","(+/-1,108)","4,592","(+/-1,484)","5,950","(+/-2,382)","2,445",(+/-999),"5,811","(+/-1,584)","3,872","(+/-1,406)","4,596","(+/-1,568)","3,360","(+/-1,181)",730,(+/-433)
People,Ancestry,Swiss,713,(+/-381),"1,431",(+/-604),"1,474",(+/-766),"1,360",(+/-701),"1,663",(+/-721),"1,170",(+/-665),639,(+/-404),"1,287",(+/-902),259,(+/-164)
People,Ancestry,Ukrainian,"1,459","(+/-1,275)","1,480","(+/-1,069)","4,416","(+/-3,151)","2,081","(+/-2,474)","1,061",(+/-825),464,(+/-320),676,(+/-646),"1,628","(+/-1,464)",960,(+/-563)
People,Ancestry,Welsh,"3,798","(+/-1,215)","6,298","(+/-2,211)","4,925","(+/-1,737)","3,184",(+/-981),"3,596","(+/-1,177)","2,920","(+/-1,072)","3,699","(+/-1,103)","3,377","(+/-1,211)","1,287",(+/-574)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,657","(+/-1,303)",180,(+/-181),"2,200","(+/-1,042)","1,935","(+/-1,355)","3,314","(+/-2,144)","4,319","(+/-3,419)","2,374","(+/-1,327)",589,(+/-515),"1,580","(+/-1,045)"
People,"Veteran Status","Civilian population 18 years and over","637,668","(+/-2,276)","640,450","(+/-2,699)","632,655","(+/-2,499)","622,980","(+/-3,069)","606,740","(+/-9,583)","622,369","(+/-8,385)","624,489","(+/-9,563)","599,264","(+/-6,317)","557,591","(+/-6,141)"
People,"Veteran Status","Civilian veterans","52,512","(+/-3,386)","42,837","(+/-3,361)","45,336","(+/-3,509)","43,031","(+/-3,222)","37,049","(+/-3,648)","43,086","(+/-3,529)","58,676","(+/-4,436)","42,008","(+/-2,871)","31,089","(+/-2,763)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","779,035","(+/-2,568)","800,594","(+/-3,276)","789,933","(+/-3,244)","801,346","(+/-3,325)","789,021","(+/-13,318)","788,254","(+/-11,674)","790,538","(+/-11,599)","756,718","(+/-9,216)","737,781","(+/-8,634)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","152,176","(+/-7,160)","108,410","(+/-5,059)","122,685","(+/-5,934)","118,524","(+/-6,574)","78,764","(+/-5,304)","106,071","(+/-5,034)","113,248","(+/-6,431)","121,603","(+/-5,272)","100,518","(+/-5,842)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","149,820","(+/-1,815)","164,369","(+/-1,638)","165,575","(+/-1,790)","184,871","(+/-2,015)","186,287","(+/-8,039)","173,526","(+/-6,010)","174,868","(+/-6,575)","173,324","(+/-5,197)","188,785","(+/-4,819)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,700","(+/-2,034)","9,179","(+/-1,891)","8,442","(+/-1,677)","10,660","(+/-2,213)","5,674","(+/-1,511)","8,365","(+/-2,148)","7,508","(+/-2,053)","10,619","(+/-1,959)","7,268","(+/-2,105)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","462,227","(+/-2,262)","487,020","(+/-2,709)","472,128","(+/-2,813)","489,837","(+/-3,122)","480,977","(+/-9,588)","477,287","(+/-8,188)","500,433","(+/-9,113)","435,565","(+/-5,208)","444,972","(+/-4,776)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","77,252","(+/-5,333)","53,122","(+/-4,197)","58,723","(+/-4,320)","62,979","(+/-5,254)","41,480","(+/-4,072)","50,165","(+/-3,388)","62,957","(+/-5,457)","57,529","(+/-4,160)","55,443","(+/-4,975)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","166,988","(+/-1,774)","149,205","(+/-1,603)","152,230","(+/-1,969)","126,638","(+/-2,012)","121,757","(+/-4,108)","137,441","(+/-3,371)","115,237","(+/-3,920)","147,829","(+/-3,447)","104,024","(+/-3,215)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","65,224","(+/-3,309)","46,109","(+/-2,918)","55,520","(+/-2,977)","44,885","(+/-2,426)","31,610","(+/-2,857)","47,541","(+/-3,089)","42,783","(+/-3,084)","53,455","(+/-3,368)","37,807","(+/-2,656)"
People,"Residence 1 Year Ago","Population 1 year and over","780,721","(+/-2,613)","799,895","(+/-3,434)","788,192","(+/-3,628)","799,658","(+/-3,371)","785,057","(+/-12,904)","786,939","(+/-11,059)","802,593","(+/-11,707)","766,438","(+/-9,028)","737,251","(+/-8,407)"
People,"Residence 1 Year Ago","Same house","696,185","(+/-8,319)","707,515","(+/-7,073)","684,750","(+/-7,208)","706,386","(+/-8,629)","693,097","(+/-14,322)","683,292","(+/-15,520)","676,207","(+/-12,242)","690,599","(+/-10,942)","640,904","(+/-14,394)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","84,536","(+/-8,051)","92,380","(+/-6,097)","103,442","(+/-6,901)","93,272","(+/-8,548)","91,960","(+/-8,479)","103,647","(+/-10,605)","126,386","(+/-10,649)","75,839","(+/-7,236)","96,347","(+/-11,242)"
People,"Residence 1 Year Ago","Different house in the U.S.","84,077","(+/-8,062)","89,164","(+/-5,955)","101,634","(+/-6,629)","92,042","(+/-8,644)","88,083","(+/-8,330)","101,607","(+/-10,578)","121,100","(+/-10,790)","73,165","(+/-7,314)","89,733","(+/-10,371)"
People,"Residence 1 Year Ago","Same county","31,638","(+/-5,639)","43,388","(+/-5,816)","52,409","(+/-5,352)","41,801","(+/-6,051)","36,194","(+/-4,627)","54,792","(+/-8,801)","55,120","(+/-7,638)","38,281","(+/-5,525)","69,211","(+/-9,577)"
People,"Residence 1 Year Ago","Different county","52,439","(+/-6,047)","45,776","(+/-4,869)","49,225","(+/-5,101)","50,241","(+/-6,723)","51,889","(+/-7,286)","46,815","(+/-5,168)","65,980","(+/-7,173)","34,884","(+/-5,116)","20,522","(+/-4,554)"
People,"Residence 1 Year Ago","Same state","28,807","(+/-4,609)","23,627","(+/-3,261)","22,673","(+/-3,977)","27,299","(+/-5,157)","29,190","(+/-6,104)","26,800","(+/-3,989)","30,220","(+/-5,251)","19,490","(+/-3,298)","6,509","(+/-2,971)"
People,"Residence 1 Year Ago","Different state","23,632","(+/-3,780)","22,149","(+/-4,107)","26,552","(+/-3,975)","22,942","(+/-4,364)","22,699","(+/-3,317)","20,015","(+/-4,176)","35,760","(+/-5,205)","15,394","(+/-3,669)","14,013","(+/-3,406)"
People,"Residence 1 Year Ago",Abroad,459,(+/-345),"3,216","(+/-1,122)","1,808",(+/-986),"1,230",(+/-571),"3,877","(+/-1,565)","2,040",(+/-986),"5,286","(+/-2,329)","2,674","(+/-1,082)","6,614","(+/-2,995)"
Workers,"Employment Status","Population 16 years and over","658,029","(+/-2,818)","660,917","(+/-3,330)","651,261","(+/-3,006)","647,863","(+/-3,367)","628,408","(+/-10,439)","643,767","(+/-9,061)","658,958","(+/-9,253)","620,651","(+/-7,115)","578,011","(+/-6,674)"
Workers,"Employment Status","In labor force","369,837","(+/-7,191)","413,359","(+/-6,427)","393,717","(+/-6,992)","418,103","(+/-5,699)","431,308","(+/-10,294)","407,148","(+/-9,054)","431,520","(+/-9,456)","362,421","(+/-6,533)","376,011","(+/-7,413)"
Workers,"Employment Status","Civilian labor force","369,654","(+/-7,176)","411,919","(+/-6,520)","393,261","(+/-7,033)","417,383","(+/-5,747)","431,113","(+/-10,266)","406,614","(+/-9,042)","417,805","(+/-9,758)","361,728","(+/-6,511)","375,024","(+/-7,401)"
Workers,"Employment Status",Employed,"355,390","(+/-7,302)","398,873","(+/-6,305)","375,701","(+/-6,781)","403,084","(+/-5,895)","420,407","(+/-10,483)","394,880","(+/-9,194)","402,429","(+/-9,848)","344,435","(+/-6,824)","347,221","(+/-7,472)"
Workers,"Employment Status",Unemployed,"14,264","(+/-2,331)","13,046","(+/-2,063)","17,560","(+/-2,546)","14,299","(+/-2,806)","10,706","(+/-2,031)","11,734","(+/-2,184)","15,376","(+/-2,552)","17,293","(+/-2,833)","27,803","(+/-4,309)"
Workers,"Employment Status","Armed Forces",183,(+/-191),"1,440",(+/-692),456,(+/-400),720,(+/-637),195,(+/-208),534,(+/-489),"13,715","(+/-2,829)",693,(+/-346),987,(+/-607)
Workers,"Employment Status","Not in labor force","288,192","(+/-7,238)","247,558","(+/-6,511)","257,544","(+/-6,467)","229,760","(+/-6,498)","197,100","(+/-7,746)","236,619","(+/-7,435)","227,438","(+/-6,500)","258,230","(+/-7,782)","202,000","(+/-7,444)"
Workers,"Employment Status","Civilian labor force","369,654","(+/-7,176)","411,919","(+/-6,520)","393,261","(+/-7,033)","417,383","(+/-5,747)","431,113","(+/-10,266)","406,614","(+/-9,042)","417,805","(+/-9,758)","361,728","(+/-6,511)","375,024","(+/-7,401)"
Workers,"Employment Status","Unemployment Rate",3.9,(+/-0.6),3.2,(+/-0.5),4.5,(+/-0.6),3.4,(+/-0.7),2.5,(+/-0.5),2.9,(+/-0.5),3.7,(+/-0.6),4.8,(+/-0.8),7.4,(+/-1.1)
Workers,"Commuting to Work","Workers 16 years and over","349,575","(+/-7,295)","394,817","(+/-5,922)","369,326","(+/-6,543)","398,774","(+/-6,051)","415,513","(+/-10,643)","386,434","(+/-9,039)","410,278","(+/-9,604)","338,033","(+/-6,550)","340,390","(+/-7,450)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","274,438","(+/-7,724)","298,806","(+/-7,144)","281,158","(+/-7,727)","305,347","(+/-6,669)","296,626","(+/-10,014)","288,057","(+/-9,302)","297,536","(+/-9,259)","271,328","(+/-8,028)","264,718","(+/-7,492)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","29,683","(+/-3,266)","28,233","(+/-3,094)","30,294","(+/-3,910)","38,326","(+/-4,725)","31,194","(+/-4,224)","28,805","(+/-3,656)","33,578","(+/-4,561)","28,473","(+/-3,224)","33,506","(+/-4,031)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",559,(+/-395),"2,118",(+/-873),"1,026",(+/-798),"1,708",(+/-932),"3,133","(+/-2,672)","2,360","(+/-1,146)","3,209","(+/-1,506)",407,(+/-425),"2,172","(+/-1,023)"
Workers,"Commuting to Work",Walked,"3,778","(+/-1,194)","7,066","(+/-1,436)","5,449","(+/-1,283)","7,101","(+/-2,639)","4,041","(+/-1,769)","3,305","(+/-1,046)","9,758","(+/-1,786)","2,415",(+/-748),"6,329","(+/-1,682)"
