Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","45 to 54 years","89,695","(+/-3,453)","88,001","(+/-3,777)","104,219","(+/-3,677)","94,858","(+/-4,481)","86,027","(+/-4,912)","102,696","(+/-4,937)","125,310","(+/-4,150)","91,156","(+/-4,235)","104,492","(+/-4,366)","103,176","(+/-4,251)","107,957","(+/-3,680)","89,464","(+/-3,428)","113,148","(+/-5,438)","106,510","(+/-3,582)"
People,"Sex and Age","55 to 59 years","39,522","(+/-2,666)","46,285","(+/-2,584)","56,991","(+/-3,664)","47,413","(+/-4,067)","36,731","(+/-3,509)","45,086","(+/-3,762)","55,909","(+/-3,237)","43,132","(+/-3,174)","50,566","(+/-3,138)","48,750","(+/-2,969)","47,325","(+/-3,643)","45,668","(+/-3,257)","51,360","(+/-4,370)","52,684","(+/-3,157)"
People,"Sex and Age","60 to 64 years","51,592","(+/-2,861)","44,744","(+/-3,068)","48,782","(+/-3,591)","45,290","(+/-3,700)","38,114","(+/-3,465)","43,074","(+/-4,003)","51,429","(+/-3,244)","49,781","(+/-3,020)","56,655","(+/-3,685)","48,380","(+/-3,048)","49,958","(+/-3,462)","48,295","(+/-2,806)","46,017","(+/-3,995)","49,094","(+/-3,172)"
People,"Sex and Age","65 to 74 years","79,330","(+/-2,088)","77,485","(+/-2,472)","82,221","(+/-2,458)","62,219","(+/-3,309)","59,772","(+/-3,968)","60,135","(+/-3,763)","72,954","(+/-3,073)","78,313","(+/-2,756)","81,100","(+/-3,792)","78,438","(+/-2,382)","75,240","(+/-2,651)","79,786","(+/-1,688)","67,783","(+/-3,561)","76,288","(+/-2,315)"
People,"Sex and Age","75 to 84 years","41,509","(+/-2,214)","39,347","(+/-2,190)","43,619","(+/-2,500)","29,177","(+/-2,301)","30,347","(+/-2,702)","30,395","(+/-2,502)","36,678","(+/-2,419)","41,716","(+/-1,965)","45,023","(+/-2,573)","39,423","(+/-2,000)","39,948","(+/-2,129)","37,377","(+/-2,031)","28,949","(+/-2,708)","38,356","(+/-1,939)"
People,"Sex and Age","85 years and over","12,709","(+/-1,686)","11,621","(+/-1,656)","11,812","(+/-1,551)","7,007","(+/-1,076)","7,012","(+/-1,400)","9,008","(+/-1,787)","10,170","(+/-1,350)","12,425","(+/-1,877)","10,441","(+/-1,735)","10,592","(+/-1,464)","12,089","(+/-1,495)","10,622","(+/-1,651)","8,612","(+/-1,283)","12,202","(+/-1,398)"
People,"Sex and Age","Median age (years)",37.0,(+/-0.5),37.4,(+/-0.5),40.3,(+/-0.5),36.4,(+/-0.6),34.5,(+/-0.6),36.2,(+/-0.6),40.9,(+/-0.7),38.0,(+/-0.5),40.2,(+/-0.6),36.9,(+/-0.5),39.1,(+/-0.6),37.0,(+/-0.4),36.9,(+/-0.9),39.2,(+/-0.5)
People,"Sex and Age","18 years and over","615,920","(+/-3,131)","580,413","(+/-6,441)","612,724","(+/-6,977)","588,477","(+/-11,113)","609,110","(+/-11,869)","605,475","(+/-12,207)","621,504","(+/-7,643)","593,590","(+/-5,727)","620,517","(+/-11,198)","638,060","(+/-8,231)","612,065","(+/-8,190)","601,406","(+/-3,099)","588,800","(+/-13,525)","606,818","(+/-5,718)"
People,"Sex and Age","65 years and over","133,548","(+/-2,074)","128,453","(+/-3,424)","137,652","(+/-3,286)","98,403","(+/-4,269)","97,131","(+/-4,912)","99,538","(+/-5,008)","119,802","(+/-3,970)","132,454","(+/-3,436)","136,564","(+/-4,279)","128,453","(+/-3,216)","127,277","(+/-3,097)","127,785","(+/-1,921)","105,344","(+/-3,979)","126,846","(+/-2,704)"
People,Race,"Total population","799,549","(+/-3,696)","757,219","(+/-8,571)","793,606","(+/-8,347)","764,860","(+/-14,345)","760,504","(+/-17,446)","779,901","(+/-15,178)","805,468","(+/-9,201)","778,270","(+/-7,756)","809,758","(+/-14,668)","828,279","(+/-10,041)","789,608","(+/-10,475)","779,898","(+/-4,033)","790,505","(+/-20,297)","791,802","(+/-8,349)"
People,Race,"One race","732,033","(+/-8,480)","709,729","(+/-9,997)","739,593","(+/-9,365)","674,417","(+/-16,336)","694,534","(+/-18,362)","710,091","(+/-16,320)","712,362","(+/-9,194)","729,694","(+/-9,926)","711,507","(+/-14,734)","765,460","(+/-11,875)","712,695","(+/-11,340)","735,952","(+/-6,763)","709,290","(+/-19,827)","722,677","(+/-9,991)"
People,Race,White,"464,561","(+/-5,624)","292,141","(+/-6,727)","506,791","(+/-7,113)","154,574","(+/-8,179)","246,147","(+/-8,654)","224,256","(+/-9,003)","500,645","(+/-9,546)","462,653","(+/-7,241)","498,098","(+/-10,445)","503,165","(+/-7,731)","550,796","(+/-10,024)","406,910","(+/-4,890)","182,093","(+/-10,130)","556,042","(+/-7,907)"
People,Race,"Black or African American","220,793","(+/-6,369)","378,236","(+/-8,392)","185,091","(+/-8,155)","357,836","(+/-10,480)","371,459","(+/-16,447)","398,728","(+/-12,686)","60,899","(+/-6,500)","226,413","(+/-8,503)","108,227","(+/-11,455)","210,689","(+/-10,136)","82,662","(+/-6,788)","285,228","(+/-5,132)","412,344","(+/-17,282)","97,947","(+/-6,883)"
People,Race,"American Indian and Alaska Native","2,945","(+/-1,288)","2,494","(+/-1,441)","3,623","(+/-2,467)","5,396","(+/-2,453)","1,944",(+/-960),"4,747","(+/-2,082)","1,793",(+/-850),"3,830","(+/-1,813)","4,749","(+/-1,725)","4,405","(+/-3,352)","7,156","(+/-4,322)","2,813","(+/-1,504)","2,177","(+/-1,289)","3,863","(+/-1,717)"
People,Race,Asian,"13,758","(+/-1,525)","12,041","(+/-2,164)","15,447","(+/-2,205)","77,169","(+/-6,641)","42,080","(+/-4,507)","24,118","(+/-4,211)","117,052","(+/-4,785)","10,842","(+/-1,687)","55,259","(+/-5,212)","18,601","(+/-1,954)","31,176","(+/-3,238)","14,939","(+/-1,795)","53,727","(+/-6,602)","13,695","(+/-2,314)"
People,Race,"Native Hawaiian and Other Pacific Islander",463,(+/-141),858,(+/-780),202,(+/-224),"1,160",(+/-849),0,(+/-226),774,(+/-917),0,(+/-226),550,(+/-585),106,(+/-176),"1,038","(+/-1,552)",873,"(+/-1,150)","3,437","(+/-3,022)",353,(+/-346),234,(+/-217)
People,Race,"Some other race","29,513","(+/-4,164)","23,959","(+/-4,879)","28,439","(+/-6,158)","78,282","(+/-8,739)","32,904","(+/-7,539)","57,468","(+/-11,240)","31,973","(+/-5,667)","25,406","(+/-4,087)","45,068","(+/-7,097)","27,562","(+/-4,547)","40,032","(+/-8,005)","22,625","(+/-3,425)","58,596","(+/-9,400)","50,896","(+/-5,400)"
People,Race,"Two or more races","67,516","(+/-6,749)","47,490","(+/-5,825)","54,013","(+/-5,713)","90,443","(+/-10,752)","65,970","(+/-7,743)","69,810","(+/-8,286)","93,106","(+/-8,043)","48,576","(+/-6,946)","98,251","(+/-8,907)","62,819","(+/-8,098)","76,913","(+/-8,082)","43,946","(+/-5,569)","81,215","(+/-8,438)","69,125","(+/-6,403)"
People,"Hispanic or Latino and Race","Total population","799,549","(+/-3,696)","757,219","(+/-8,571)","793,606","(+/-8,347)","764,860","(+/-14,345)","760,504","(+/-17,446)","779,901","(+/-15,178)","805,468","(+/-9,201)","778,270","(+/-7,756)","809,758","(+/-14,668)","828,279","(+/-10,041)","789,608","(+/-10,475)","779,898","(+/-4,033)","790,505","(+/-20,297)","791,802","(+/-8,349)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","66,872","(+/-1,823)","47,997","(+/-2,961)","58,401","(+/-4,029)","152,171","(+/-10,600)","76,876","(+/-7,961)","100,524","(+/-7,169)","94,582","(+/-7,794)","58,225","(+/-3,074)","134,101","(+/-8,604)","73,389","(+/-4,558)","93,597","(+/-6,142)","47,956",(+/-742),"117,854","(+/-9,762)","100,032","(+/-3,905)"
People,"Hispanic or Latino and Race",Mexican,"29,851","(+/-3,667)","24,196","(+/-4,046)","32,665","(+/-5,617)","65,668","(+/-7,445)","38,808","(+/-5,831)","52,467","(+/-7,121)","44,472","(+/-5,296)","35,430","(+/-3,534)","65,970","(+/-7,114)","33,994","(+/-4,332)","44,085","(+/-6,873)","28,419","(+/-2,719)","60,731","(+/-8,036)","54,166","(+/-6,431)"
People,"Hispanic or Latino and Race","Puerto Rican","14,068","(+/-2,719)","10,140","(+/-2,596)","8,221","(+/-2,567)","6,786","(+/-2,608)","7,133","(+/-2,101)","6,249","(+/-1,958)","10,963","(+/-3,728)","6,689","(+/-2,379)","10,179","(+/-3,122)","10,617","(+/-3,354)","9,120","(+/-2,667)","8,165","(+/-1,870)","10,582","(+/-2,486)","5,532","(+/-2,091)"
People,"Hispanic or Latino and Race",Cuban,"2,401","(+/-1,200)","2,342","(+/-1,486)","2,552","(+/-1,653)","3,794","(+/-1,884)","1,669",(+/-775),"3,354","(+/-1,506)","5,353","(+/-2,000)","2,256","(+/-1,160)","2,990","(+/-1,463)","2,780","(+/-1,395)","2,956","(+/-1,280)",972,(+/-689),"3,136","(+/-1,142)","3,425","(+/-1,647)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","20,552","(+/-3,120)","11,319","(+/-2,467)","14,963","(+/-3,472)","75,923","(+/-7,595)","29,266","(+/-6,219)","38,454","(+/-6,904)","33,794","(+/-5,234)","13,850","(+/-3,391)","54,962","(+/-7,997)","25,998","(+/-4,975)","37,436","(+/-5,823)","10,400","(+/-2,137)","43,405","(+/-6,395)","36,909","(+/-6,681)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","732,677","(+/-3,844)","709,222","(+/-8,510)","735,205","(+/-7,669)","612,689","(+/-13,097)","683,628","(+/-17,172)","679,377","(+/-14,107)","710,886","(+/-8,814)","720,045","(+/-7,555)","675,657","(+/-13,164)","754,890","(+/-10,062)","696,011","(+/-10,559)","731,942","(+/-4,072)","672,651","(+/-17,731)","691,770","(+/-7,567)"
People,"Place of Birth","Total population","799,549","(+/-3,696)","757,219","(+/-8,571)","793,606","(+/-8,347)","764,860","(+/-14,345)","760,504","(+/-17,446)","779,901","(+/-15,178)","805,468","(+/-9,201)","778,270","(+/-7,756)","809,758","(+/-14,668)","828,279","(+/-10,041)","789,608","(+/-10,475)","779,898","(+/-4,033)","790,505","(+/-20,297)","791,802","(+/-8,349)"
People,"Place of Birth",Native,"750,526","(+/-5,469)","724,262","(+/-8,860)","745,731","(+/-9,304)","554,639","(+/-12,985)","670,743","(+/-16,484)","677,052","(+/-14,307)","639,244","(+/-10,991)","742,638","(+/-7,624)","677,508","(+/-13,659)","762,278","(+/-11,633)","697,681","(+/-11,599)","747,571","(+/-4,941)","642,712","(+/-18,133)","722,180","(+/-10,377)"
People,"Place of Birth","Born in United States","733,533","(+/-5,695)","716,416","(+/-8,842)","735,591","(+/-9,699)","543,037","(+/-13,000)","657,834","(+/-15,978)","661,084","(+/-15,056)","625,151","(+/-10,392)","732,639","(+/-7,847)","663,588","(+/-13,908)","753,569","(+/-11,800)","685,000","(+/-11,552)","736,921","(+/-4,549)","627,123","(+/-18,269)","712,515","(+/-10,228)"
People,"Place of Birth","State of residence","412,308","(+/-11,204)","510,228","(+/-11,049)","468,079","(+/-10,647)","306,440","(+/-12,282)","370,371","(+/-14,965)","357,709","(+/-14,102)","307,311","(+/-10,083)","535,606","(+/-10,626)","399,304","(+/-9,783)","499,854","(+/-12,190)","378,167","(+/-10,030)","513,979","(+/-9,544)","370,750","(+/-16,919)","414,493","(+/-9,935)"
People,"Place of Birth","Different state","321,225","(+/-11,360)","206,188","(+/-8,843)","267,512","(+/-8,727)","236,597","(+/-11,985)","287,463","(+/-11,263)","303,375","(+/-12,019)","317,840","(+/-9,123)","197,033","(+/-9,100)","264,284","(+/-11,961)","253,715","(+/-9,565)","306,833","(+/-10,238)","222,942","(+/-8,585)","256,373","(+/-13,407)","298,022","(+/-10,786)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","16,993","(+/-2,581)","7,846","(+/-1,425)","10,140","(+/-2,081)","11,602","(+/-2,385)","12,909","(+/-2,960)","15,968","(+/-6,608)","14,093","(+/-3,069)","9,999","(+/-2,212)","13,920","(+/-2,811)","8,709","(+/-2,085)","12,681","(+/-2,035)","10,650","(+/-2,378)","15,589","(+/-3,022)","9,665","(+/-2,157)"
People,"Place of Birth",Foreign-born,"49,023","(+/-4,220)","32,957","(+/-3,856)","47,875","(+/-5,494)","210,221","(+/-9,946)","89,761","(+/-8,079)","102,849","(+/-8,533)","166,224","(+/-6,587)","35,632","(+/-3,480)","132,250","(+/-8,822)","66,001","(+/-6,106)","91,927","(+/-7,654)","32,327","(+/-3,805)","147,793","(+/-10,576)","69,622","(+/-6,590)"
People,Ancestry,"Total population","799,549","(+/-3,696)","757,219","(+/-8,571)","793,606","(+/-8,347)","764,860","(+/-14,345)","760,504","(+/-17,446)","779,901","(+/-15,178)","805,468","(+/-9,201)","778,270","(+/-7,756)","809,758","(+/-14,668)","828,279","(+/-10,041)","789,608","(+/-10,475)","779,898","(+/-4,033)","790,505","(+/-20,297)","791,802","(+/-8,349)"
People,Ancestry,American,"60,330","(+/-7,864)","84,786","(+/-7,279)","98,611","(+/-10,923)","27,107","(+/-4,955)","29,605","(+/-4,411)","73,554","(+/-11,904)","47,287","(+/-4,953)","85,766","(+/-6,886)","67,391","(+/-6,634)","73,484","(+/-6,941)","52,195","(+/-5,952)","68,611","(+/-5,960)","36,870","(+/-5,674)","83,806","(+/-6,734)"
People,Ancestry,Arab,"3,581","(+/-1,840)","2,248","(+/-1,483)","1,987","(+/-1,491)","6,919","(+/-3,717)","2,983","(+/-1,110)","2,081",(+/-879),"5,547","(+/-1,979)","2,103","(+/-1,022)","4,235","(+/-2,671)","2,173",(+/-914),"2,482","(+/-1,183)","1,211",(+/-821),"5,329","(+/-2,867)","1,002",(+/-683)
People,Ancestry,Czech,986,(+/-632),79,(+/-103),804,(+/-547),830,(+/-601),"1,567",(+/-571),563,(+/-438),"1,449",(+/-721),476,(+/-388),"1,289",(+/-873),807,(+/-420),"2,326",(+/-928),620,(+/-499),696,(+/-455),807,(+/-488)
People,Ancestry,Danish,968,(+/-574),484,(+/-463),541,(+/-359),380,(+/-246),"1,025",(+/-595),963,(+/-706),"2,539","(+/-1,201)",455,(+/-303),"1,258",(+/-676),966,(+/-476),"2,185","(+/-1,028)",728,(+/-610),851,(+/-544),903,(+/-556)
People,Ancestry,Dutch,"4,438","(+/-1,757)","1,942",(+/-856),"2,629",(+/-838),"1,572",(+/-685),"4,406","(+/-1,764)","2,592","(+/-1,007)","7,094","(+/-1,657)","2,321","(+/-1,103)","4,308","(+/-1,041)","3,869","(+/-1,543)","5,432","(+/-1,609)","1,382",(+/-675),"2,388",(+/-809),"4,379","(+/-1,443)"
People,Ancestry,English,"77,781","(+/-6,867)","48,920","(+/-4,471)","99,259","(+/-8,552)","31,206","(+/-3,346)","59,673","(+/-5,623)","53,589","(+/-5,049)","100,170","(+/-5,914)","80,310","(+/-6,871)","90,858","(+/-7,072)","94,861","(+/-8,337)","124,838","(+/-8,791)","71,600","(+/-6,122)","43,078","(+/-5,091)","132,906","(+/-9,590)"
People,Ancestry,"French (except Basque)","9,520","(+/-2,026)","4,875","(+/-1,326)","8,762","(+/-2,393)","3,905","(+/-1,109)","8,880","(+/-1,917)","9,988","(+/-3,006)","12,931","(+/-2,335)","6,160","(+/-1,939)","9,811","(+/-2,178)","7,968","(+/-1,759)","12,230","(+/-2,808)","7,183","(+/-2,262)","3,418","(+/-1,432)","7,336","(+/-1,792)"
People,Ancestry,"French Canadian","1,888",(+/-723),899,(+/-461),"1,515",(+/-572),"1,118",(+/-548),"2,012",(+/-975),912,(+/-529),"2,309",(+/-894),"1,216",(+/-644),"2,536","(+/-1,063)","1,863",(+/-882),"2,334",(+/-898),"1,013",(+/-550),695,(+/-542),"1,222",(+/-483)
People,Ancestry,German,"65,955","(+/-5,024)","29,841","(+/-4,039)","56,009","(+/-5,646)","20,169","(+/-3,163)","42,394","(+/-3,914)","31,394","(+/-3,408)","72,616","(+/-5,830)","33,229","(+/-3,977)","52,647","(+/-4,897)","59,015","(+/-5,546)","73,842","(+/-5,956)","46,939","(+/-5,100)","25,055","(+/-3,868)","58,510","(+/-5,871)"
People,Ancestry,Greek,"1,960","(+/-1,064)",878,(+/-594),935,(+/-662),"1,563",(+/-845),"1,697",(+/-715),703,(+/-539),"1,941",(+/-724),"1,146",(+/-543),"1,855","(+/-1,187)","1,264",(+/-935),"2,191",(+/-862),444,(+/-293),284,(+/-444),"2,370","(+/-1,367)"
People,Ancestry,Hungarian,"1,269",(+/-677),556,(+/-540),"1,206",(+/-763),952,(+/-641),"2,334",(+/-856),642,(+/-530),"1,959",(+/-697),"1,056",(+/-549),"1,042",(+/-536),"1,131",(+/-486),"1,401",(+/-615),"1,140",(+/-735),263,(+/-235),"1,265","(+/-1,233)"
People,Ancestry,Irish,"73,584","(+/-6,570)","39,141","(+/-4,600)","61,412","(+/-5,871)","22,356","(+/-3,250)","43,869","(+/-4,515)","29,851","(+/-4,032)","66,648","(+/-5,144)","51,595","(+/-6,148)","57,798","(+/-4,792)","59,883","(+/-4,859)","67,771","(+/-5,597)","50,885","(+/-6,255)","25,831","(+/-4,304)","74,555","(+/-6,496)"
People,Ancestry,Italian,"26,804","(+/-3,899)","10,027","(+/-2,044)","18,508","(+/-3,098)","8,706","(+/-1,822)","18,459","(+/-2,857)","17,516","(+/-3,044)","31,883","(+/-3,639)","9,722","(+/-1,819)","17,686","(+/-2,914)","16,969","(+/-2,682)","33,237","(+/-4,549)","11,454","(+/-2,426)","9,143","(+/-2,167)","18,486","(+/-2,827)"
People,Ancestry,Lithuanian,611,(+/-448),347,(+/-474),746,(+/-609),"1,249",(+/-825),998,(+/-554),793,(+/-630),"1,752",(+/-588),572,(+/-696),332,(+/-183),488,(+/-408),"1,391",(+/-667),539,(+/-553),224,(+/-252),268,(+/-244)
People,Ancestry,Norwegian,"3,196","(+/-1,278)",886,(+/-388),"4,196","(+/-1,500)","1,941",(+/-852),"3,746","(+/-1,976)","2,492",(+/-791),"4,405","(+/-1,371)","2,163","(+/-1,280)","4,634","(+/-1,238)","3,882","(+/-1,748)","5,545","(+/-1,445)","2,360","(+/-1,187)","2,214","(+/-1,112)","3,397","(+/-1,517)"
People,Ancestry,Polish,"9,082","(+/-2,156)","3,645","(+/-1,014)","7,302","(+/-1,621)","5,509","(+/-1,403)","10,094","(+/-1,843)","5,242","(+/-1,718)","13,960","(+/-2,232)","5,084","(+/-1,356)","8,824","(+/-2,306)","6,475","(+/-1,339)","14,404","(+/-3,237)","4,043","(+/-1,910)","4,937","(+/-1,805)","6,517","(+/-1,541)"
People,Ancestry,Portuguese,"3,439","(+/-1,773)",390,(+/-311),"1,169",(+/-668),814,(+/-623),"1,554",(+/-955),"1,027",(+/-968),"3,781","(+/-1,360)","1,018",(+/-758),"1,769","(+/-1,154)","1,393","(+/-1,015)","2,269",(+/-990),321,(+/-282),572,(+/-403),794,(+/-454)
People,Ancestry,Russian,"2,131","(+/-1,095)",745,(+/-542),"1,625",(+/-982),"1,339",(+/-619),"3,635","(+/-1,221)","4,682","(+/-2,645)","6,791","(+/-1,785)",668,(+/-430),"1,161",(+/-825),"3,014","(+/-1,425)","4,086","(+/-1,057)",822,(+/-532),"1,069",(+/-587),"1,612",(+/-765)
People,Ancestry,Scotch-Irish,"7,808","(+/-1,718)","3,457",(+/-930),"8,109","(+/-1,786)","3,286",(+/-920),"5,609","(+/-1,399)","5,193","(+/-1,236)","8,408","(+/-1,932)","8,189","(+/-2,102)","9,506","(+/-1,979)","8,250","(+/-2,133)","9,439","(+/-2,392)","7,968","(+/-1,882)","5,615","(+/-1,594)","8,543","(+/-1,956)"
People,Ancestry,Scottish,"14,177","(+/-2,687)","7,496","(+/-1,648)","14,576","(+/-2,725)","6,312","(+/-1,405)","11,952","(+/-2,098)","8,537","(+/-2,084)","19,544","(+/-2,720)","14,412","(+/-2,459)","14,672","(+/-2,258)","20,061","(+/-2,659)","18,487","(+/-2,808)","11,066","(+/-2,607)","7,119","(+/-1,561)","17,885","(+/-2,759)"
People,Ancestry,Slovak,779,(+/-559),60,(+/-108),336,(+/-395),269,(+/-185),187,(+/-142),900,(+/-605),974,(+/-587),126,(+/-144),782,(+/-506),383,(+/-399),"1,206",(+/-534),410,(+/-297),232,(+/-261),824,(+/-425)
People,Ancestry,"Subsaharan African","10,144","(+/-2,241)","12,327","(+/-3,824)","10,276","(+/-3,511)","38,780","(+/-6,658)","26,308","(+/-5,753)","27,881","(+/-5,068)","12,570","(+/-4,583)","6,697","(+/-2,263)","11,482","(+/-4,154)","16,594","(+/-5,604)","10,771","(+/-3,000)","8,049","(+/-2,855)","42,006","(+/-7,906)","9,017","(+/-3,381)"
People,Ancestry,Swedish,"3,648","(+/-1,192)",492,(+/-366),"3,565","(+/-1,319)","1,313",(+/-568),"4,613","(+/-1,221)","3,096","(+/-1,128)","6,362","(+/-1,864)","1,446",(+/-736),"3,963","(+/-1,257)","1,878",(+/-643),"4,495","(+/-1,277)",931,(+/-449),"1,253",(+/-537),"1,954",(+/-846)
People,Ancestry,Swiss,"1,006",(+/-524),350,(+/-352),619,(+/-327),512,(+/-274),983,(+/-504),"1,063",(+/-586),"1,431",(+/-555),247,(+/-335),290,(+/-238),690,(+/-358),650,(+/-403),292,(+/-299),213,(+/-179),617,(+/-431)
People,Ancestry,Ukrainian,"1,508","(+/-1,272)",473,(+/-597),"1,116",(+/-811),850,(+/-797),"2,628","(+/-1,149)",549,(+/-429),"4,206","(+/-1,527)",389,(+/-392),"1,124",(+/-681),"2,576","(+/-2,072)","2,078",(+/-753),600,(+/-569),880,(+/-729),581,(+/-539)
People,Ancestry,Welsh,"3,742","(+/-1,885)","2,745","(+/-1,063)","3,010","(+/-1,211)","1,603",(+/-772),"3,511","(+/-2,054)","1,902",(+/-632),"3,412",(+/-982),"2,432",(+/-991),"7,089","(+/-2,296)","3,485","(+/-1,479)","3,941","(+/-1,285)","1,779",(+/-770),"1,503",(+/-845),"3,803","(+/-1,744)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","5,141","(+/-1,971)","7,576","(+/-4,097)","5,634","(+/-2,109)","24,821","(+/-5,936)","12,407","(+/-3,141)","21,088","(+/-4,268)","6,741","(+/-2,580)","2,755","(+/-1,492)","8,151","(+/-2,729)","13,206","(+/-3,353)","7,658","(+/-2,406)","4,034","(+/-2,129)","30,936","(+/-7,203)","4,640","(+/-2,241)"
